MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,6708,21.2104,2.88195,-2.67699,0,114.333
0,6708,21.2104,2.88195,-2.67699,3,114.333
0,6707,20.6297,3.22964,-3.33073,2,112.333
0,6475,21.3036,2.88748,-3.64841,1,106.667
0,6474,20.6816,3.22783,-4.31196,1,102.5
0,6483,20.0063,3.56753,-3.98172,1,104.167
0,6715,19.9465,3.56667,-2.98912,1,111.833
0,6943,20.5218,3.22709,-2.37439,1,119.833
0,6709,21.8755,2.54013,-2.96201,2,105
0,6476,21.9619,2.54458,-3.97759,1,101.833
0,6701,22.5251,2.20583,-3.35507,1,105
0,6945,21.7009,2.53045,-1.89677,1,117.429
0,6938,22.4359,2.17383,-2.3819,1,109.667
0,6944,21.0294,2.89338,-1.79445,2,126.6
0,7182,20.4262,3.17244,-1.41294,1,123.333
0,7183,21.0928,2.70715,-0.81473,1,130.75
1,6709,21.8755,2.54013,-2.96201,0,105
1,6709,21.8755,2.54013,-2.96201,3,105
1,6475,21.3036,2.88748,-3.64841,2,106.667
1,6474,20.6816,3.22783,-4.31196,1,102.5
1,6231,21.3482,2.88361,-4.63889,1,100
1,6476,21.9619,2.54458,-3.97759,1,101.833
1,6707,20.6297,3.22964,-3.33073,1,112.333
1,6708,21.2104,2.88195,-2.67699,1,114.333
1,6701,22.5251,2.20583,-3.35507,2,105
1,6468,23.1909,1.8302,-3.64527,1,106.167
1,6702,23.0246,1.87126,-2.76606,1,109.2
1,6467,22.6208,2.18198,-4.31636,1,102.667
1,6938,22.4359,2.17383,-2.3819,1,109.667
1,6945,21.7009,2.53045,-1.89677,2,117.429
1,6944,21.0294,2.89338,-1.79445,1,126.6
1,7174,22.3664,2.10932,-1.57036,1,116
1,7175,21.8544,2.32098,-1.0481,1,122.2
1,7183,21.0928,2.70715,-0.81473,1,130.75
2,6938,22.4359,2.17383,-2.3819,0,109.667
2,6938,22.4359,2.17383,-2.3819,3,109.667
2,6702,23.0246,1.87126,-2.76606,2,109.2
2,6701,22.5251,2.20583,-3.35507,1,105
2,6468,23.1909,1.8302,-3.64527,1,106.167
2,6703,23.6763,1.47557,-2.8508,1,104.143
2,6939,23.0986,1.70316,-1.78444,1,109.25
2,6709,21.8755,2.54013,-2.96201,2,105
2,6475,21.3036,2.88748,-3.64841,1,106.667
2,6476,21.9619,2.54458,-3.97759,1,101.833
2,6708,21.2104,2.88195,-2.67699,1,114.333
2,6945,21.7009,2.53045,-1.89677,1,117.429
2,7174,22.3664,2.10932,-1.57036,2,116
2,7175,21.8544,2.32098,-1.0481,1,122.2
2,7176,22.485,1.88965,-0.720441,1,120.286
3,6939,23.0986,1.70316,-1.78444,0,109.25
3,6939,23.0986,1.70316,-1.78444,3,109.25
3,6938,22.4359,2.17383,-2.3819,2,109.667
3,6702,23.0246,1.87126,-2.76606,1,109.2
3,6701,22.5251,2.20583,-3.35507,1,105
3,6709,21.8755,2.54013,-2.96201,1,105
3,6945,21.7009,2.53045,-1.89677,1,117.429
3,7174,22.3664,2.10932,-1.57036,1,116
3,6703,23.6763,1.47557,-2.8508,2,104.143
3,6468,23.1909,1.8302,-3.64527,1,106.167
3,6469,23.8305,1.43123,-3.86782,1,99.8333
3,6694,24.4028,1.01903,-3.31008,1,105.667
3,6927,24.3052,1.03652,-2.50271,1,108.6
3,6928,23.83,1.29011,-2.00005,1,110.6
3,7176,22.485,1.88965,-0.720441,2,120.286
3,7175,21.8544,2.32098,-1.0481,1,122.2
3,7177,23.1222,1.52089,-0.773392,1,113.8
3,7421,21.7104,2.25357,-0.263103,1,129
3,7422,22.1453,1.88846,0.237652,1,131.4
3,7423,22.7847,1.52213,0.183168,1,122
3,7161,23.7111,1.24228,-1.21887,2,110.667
3,6929,24.4374,0.836308,-1.65643,1,111
3,7162,24.1545,0.868251,-0.716644,1,112.4
3,7411,23.5629,1.15354,-0.271582,1,114.667
4,6943,20.5218,3.22709,-2.37439,0,119.833
4,6943,20.5218,3.22709,-2.37439,3,119.833
4,6708,21.2104,2.88195,-2.67699,2,114.333
4,6707,20.6297,3.22964,-3.33073,1,112.333
4,6475,21.3036,2.88748,-3.64841,1,106.667
4,6709,21.8755,2.54013,-2.96201,1,105
4,6944,21.0294,2.89338,-1.79445,1,126.6
4,6945,21.7009,2.53045,-1.89677,1,117.429
4,6715,19.9465,3.56667,-2.98912,2,111.833
4,6482,19.3249,3.90271,-3.64901,1,102.5
4,6483,20.0063,3.56753,-3.98172,1,104.167
4,6714,19.2633,3.89377,-2.64893,1,116.5
4,6951,19.8467,3.54357,-1.98243,1,122.667
4,7182,20.4262,3.17244,-1.41294,2,123.333
4,7183,21.0928,2.70715,-0.81473,1,130.75
4,7189,19.6745,3.50293,-0.952551,1,125.571
4,7428,20.3541,3.08655,-0.611577,1,133
5,6950,19.1436,3.86894,-1.65938,0,135.667
5,6950,19.1436,3.86894,-1.65938,3,135.667
5,6949,18.5531,4.22325,-2.3392,2,116.5
5,6714,19.2633,3.89377,-2.64893,1,116.5
5,6713,18.6352,4.23266,-3.32245,1,101
5,6721,17.9221,4.55676,-2.99512,1,100.833
5,6957,17.805,4.54571,-2.00243,1,110.167
5,7187,18.4144,4.20124,-1.4112,1,122.5
5,6951,19.8467,3.54357,-1.98243,2,122.667
5,6715,19.9465,3.56667,-2.98912,1,111.833
5,6943,20.5218,3.22709,-2.37439,1,119.833
5,7189,19.6745,3.50293,-0.952551,1,125.571
5,7182,20.4262,3.17244,-1.41294,1,123.333
5,7188,18.9097,3.85635,-0.702986,2,139.333
5,7435,18.2767,4.15309,-0.584289,1,131.4
5,7437,18.4123,3.92498,0.286875,1,151.429
5,7438,19.1926,3.57557,0.0482761,1,137.833
6,6951,19.8467,3.54357,-1.98243,0,122.667
6,6951,19.8467,3.54357,-1.98243,3,122.667
6,6714,19.2633,3.89377,-2.64893,2,116.5
6,6713,18.6352,4.23266,-3.32245,1,101
6,6482,19.3249,3.90271,-3.64901,1,102.5
6,6715,19.9465,3.56667,-2.98912,1,111.833
6,6949,18.5531,4.22325,-2.3392,1,116.5
6,6950,19.1436,3.86894,-1.65938,1,135.667
6,6943,20.5218,3.22709,-2.37439,2,119.833
6,6708,21.2104,2.88195,-2.67699,1,114.333
6,6944,21.0294,2.89338,-1.79445,1,126.6
6,6707,20.6297,3.22964,-3.33073,1,112.333
6,7182,20.4262,3.17244,-1.41294,1,123.333
6,7189,19.6745,3.50293,-0.952551,2,125.571
6,7188,18.9097,3.85635,-0.702986,1,139.333
6,7428,20.3541,3.08655,-0.611577,1,133
6,7429,19.8598,3.26087,-0.118893,1,137.2
6,7438,19.1926,3.57557,0.0482761,1,137.833
7,6963,14.1223,5.80634,-1.88101,0,125.333
7,6963,14.1223,5.80634,-1.88101,3,125.333
7,6726,13.3794,6.02131,-2.61029,2,120.5
7,6725,12.6158,6.21577,-3.32162,1,107.5
7,6496,13.378,6.00409,-3.66135,1,114.833
7,6727,14.1168,5.83084,-2.91955,1,123.833
7,6961,12.577,6.2285,-2.3622,1,112.333
7,6962,13.331,6.00591,-1.59058,1,124.167
7,6964,14.7743,5.64631,-2.23134,2,116.2
7,6728,14.9017,5.6303,-3.10599,1,114.667
7,6965,15.554,5.41847,-2.18421,1,104.143
7,7204,14.9642,5.53357,-1.24868,1,112.857
7,7203,14.0999,5.75682,-0.90318,2,123.333
