MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,7459,7.73005,7.13308,0.433021,0,111.286
0,7459,7.73005,7.13308,0.433021,3,111.286
0,7458,6.88721,7.34714,-0.157695,2,111
0,7457,7.45221,7.23565,-0.52849,1,110.6
0,7227,6.60874,7.4337,-1.11484,1,108.429
0,7473,5.99124,7.53324,-0.28868,1,111.429
0,7707,6.81271,7.33578,0.665477,1,110.667
0,7209,8.31321,7.04096,-0.477854,2,115.143
0,7208,7.54976,7.23548,-1.33705,1,109.333
0,6970,8.40975,7.04462,-1.52556,1,113.5
0,7210,9.1912,6.87168,-0.805294,1,118.5
0,7460,8.56311,6.94489,0.492765,1,112.4
0,7461,9.20201,6.83084,0.131095,1,115.833
0,7708,7.61157,7.12839,1.4529,2,110.333
0,7709,8.44956,6.93876,1.3437,1,109.167
0,7953,6.76184,7.33522,1.62551,1,111
0,7954,7.5859,7.13042,2.43218,1,110.5
0,7955,8.42716,6.93027,2.28943,1,107.5
1,7460,8.56311,6.94489,0.492765,0,112.4
1,7460,8.56311,6.94489,0.492765,3,112.4
1,7459,7.73005,7.13308,0.433021,2,111.286
1,7458,6.88721,7.34714,-0.157695,1,111
1,7457,7.45221,7.23565,-0.52849,1,110.6
1,7209,8.31321,7.04096,-0.477854,1,115.143
1,7707,6.81271,7.33578,0.665477,1,110.667
1,7708,7.61157,7.12839,1.4529,1,110.333
1,7709,8.44956,6.93876,1.3437,1,109.167
1,7461,9.20201,6.83084,0.131095,2,115.833
1,7210,9.1912,6.87168,-0.805294,1,118.5
1,7462,10.0353,6.67594,-0.0833116,1,113.333
1,7710,9.25842,6.77257,1.14835,1,110.333
1,7711,9.89376,6.65898,0.777692,1,109.8
2,7461,9.20201,6.83084,0.131095,0,115.833
2,7461,9.20201,6.83084,0.131095,3,115.833
2,7209,8.31321,7.04096,-0.477854,2,115.143
2,7208,7.54976,7.23548,-1.33705,1,109.333
2,6970,8.40975,7.04462,-1.52556,1,113.5
2,7210,9.1912,6.87168,-0.805294,1,118.5
2,7457,7.45221,7.23565,-0.52849,1,110.6
2,7459,7.73005,7.13308,0.433021,1,111.286
2,7460,8.56311,6.94489,0.492765,1,112.4
2,7462,10.0353,6.67594,-0.0833116,2,113.333
2,7211,10.0157,6.72312,-1.0328,1,114.5
2,7463,10.923,6.50711,-0.294975,1,109.571
2,7711,9.89376,6.65898,0.777692,1,109.8
2,7712,10.7193,6.47772,0.79936,1,107.857
2,7710,9.25842,6.77257,1.14835,2,110.333
2,7709,8.44956,6.93876,1.3437,1,109.167
2,7956,9.26987,6.74448,2.097,1,107.167
2,7957,10.1258,6.56152,1.75652,1,106.429
3,7700,12.328,6.02475,1.42787,0,120.286
3,7700,12.328,6.02475,1.42787,3,120.286
3,7699,11.6356,6.27577,0.587747,2,112.833
3,7450,12.5552,6.06501,0.371142,1,125.429
3,7449,11.789,6.30843,-0.211923,1,115.8
3,7463,10.923,6.50711,-0.294975,1,109.571
3,7712,10.7193,6.47772,0.79936,1,107.857
3,7944,11.4968,6.2442,1.39187,1,110
3,7701,13.1742,5.8203,1.19541,2,126.833
3,7451,13.3478,5.85909,0.358836,1,129.6
3,7702,13.8741,5.65919,0.902388,1,119.6
3,7948,13.1672,5.73307,2.06826,1,123
3,7949,13.9896,5.51976,1.8099,1,119
3,7946,11.726,6.11978,2.32151,2,116.143
3,7945,10.9473,6.35795,1.77989,1,109.6
3,7947,12.487,5.90206,2.34732,1,116.2
3,8197,10.8665,6.34449,2.60012,1,109.667
3,8198,11.6229,6.11556,3.29698,1,116
3,8199,12.3739,5.88545,3.18486,1,116.667
4,7701,13.1742,5.8203,1.19541,0,126.833
4,7701,13.1742,5.8203,1.19541,3,126.833
4,7450,12.5552,6.06501,0.371142,2,125.429
4,7449,11.789,6.30843,-0.211923,1,115.8
