MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,10891,14.0276,5.47094,6.64452,0,129
0,10891,14.0276,5.47094,6.64452,3,129
0,10577,14.5331,5.06337,6.03235,2,147
0,10576,14.0719,5.42438,5.47602,1,133
0,10281,14.7414,5.03519,5.14864,1,147
0,10578,15.1273,4.59701,5.92603,1,155
0,10892,14.6669,4.77617,6.89592,1,150
0,10584,13.4095,5.83217,5.75099,2,133
0,10288,12.6758,6.10886,4.95868,1,133
0,10289,13.4681,5.74157,4.71933,1,137
0,10583,12.8137,6.20542,5.94014,1,129
0,10897,13.3487,6.04894,6.66704,1,129
0,11207,14.3128,5.11406,7.75876,2,140
0,11208,14.6284,4.56527,7.75357,1,147
0,11214,13.8037,6.02105,7.8265,1,124
0,11522,14.519,4.43044,8.76145,1,147
0,11526,14.2576,5.38845,8.60995,1,141
1,10892,14.6669,4.77617,6.89592,0,150
1,10892,14.6669,4.77617,6.89592,3,150
1,10891,14.0276,5.47094,6.64452,2,129
1,10577,14.5331,5.06337,6.03235,1,147
1,10576,14.0719,5.42438,5.47602,1,133
1,10584,13.4095,5.83217,5.75099,1,133
1,10897,13.3487,6.04894,6.66704,1,129
1,11207,14.3128,5.11406,7.75876,1,140
1,11214,13.8037,6.02105,7.8265,1,124
1,10578,15.1273,4.59701,5.92603,2,155
1,10281,14.7414,5.03519,5.14864,1,147
1,10282,15.495,4.63526,4.80773,1,167
1,10573,15.7264,4.2506,5.535,1,164
1,10885,15.5713,4.07349,6.27152,1,164
1,10886,15.1254,4.32078,6.71604,1,150
1,11208,14.6284,4.56527,7.75357,2,147
1,11203,14.9207,4.2817,7.35325,1,150
1,11522,14.519,4.43044,8.76145,1,147
1,11521,14.7853,4.20422,7.95235,1,147
2,10895,12.3822,6.48479,6.15192,0,129
2,10895,12.3822,6.48479,6.15192,3,129
2,10582,12.1577,6.40433,5.42921,2,121
2,10288,12.6758,6.10886,4.95868,1,133
2,10583,12.8137,6.20542,5.94014,1,129
2,10287,11.9769,6.35245,4.72265,1,121
2,10298,11.4446,6.56676,4.84931,1,121
2,10593,11.6057,6.73543,5.85539,1,121
2,10896,12.8355,6.37002,6.57661,2,124
2,10897,13.3487,6.04894,6.66704,1,129
2,10908,12.4238,6.72659,6.87113,1,124
2,11213,13.1221,6.39182,7.16432,1,124
3,10896,12.8355,6.37002,6.57661,0,124
3,10896,12.8355,6.37002,6.57661,3,124
3,10583,12.8137,6.20542,5.94014,2,129
3,10582,12.1577,6.40433,5.42921,1,121
3,10288,12.6758,6.10886,4.95868,1,133
3,10584,13.4095,5.83217,5.75099,1,133
3,10895,12.3822,6.48479,6.15192,1,129
3,10897,13.3487,6.04894,6.66704,1,129
3,10908,12.4238,6.72659,6.87113,2,124
3,10593,11.6057,6.73543,5.85539,1,121
3,10907,11.4694,7.13012,6.81582,1,118
3,11221,12.3053,7.19958,7.61996,1,120
3,11213,13.1221,6.39182,7.16432,1,124
3,11222,13.1118,6.78653,7.80593,1,120
4,10897,13.3487,6.04894,6.66704,0,129
4,10897,13.3487,6.04894,6.66704,3,129
4,10896,12.8355,6.37002,6.57661,2,124
