MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,4482,-29.5702,-6.36556,-11.9955,0,117.167
0,4482,-29.5702,-6.36556,-11.9955,3,117.167
0,4480,-29.6826,-7.09165,-12.2772,2,112.333
0,4475,-30.3913,-7.52604,-11.957,1,123.6
0,4476,-30.0545,-8.0115,-12.4088,1,114
0,4481,-28.9655,-6.46998,-12.5196,1,115.833
0,4252,-29.0182,-7.23069,-12.8408,1,107.714
0,4706,-30.252,-6.8238,-11.7123,1,118.833
0,4486,-28.8247,-5.74937,-12.2445,2,115.667
0,4487,-29.4419,-5.85656,-11.8139,1,115
0,4488,-28.2418,-5.85124,-12.7724,1,107.333
0,4491,-29.1878,-5.33257,-11.692,1,115
0,4493,-28.0789,-5.0346,-12.433,1,110.25
0,4711,-30.1354,-6.04157,-11.3602,2,121
0,4710,-30.5355,-5.80831,-10.8916,1,118.5
0,4709,-31.1715,-6.31376,-10.7051,1,124
0,4704,-30.8395,-6.74605,-11.221,1,130.5
0,4713,-29.9742,-5.24592,-10.9598,1,114.75
1,4487,-29.4419,-5.85656,-11.8139,0,115
1,4487,-29.4419,-5.85656,-11.8139,3,115
1,4486,-28.8247,-5.74937,-12.2445,2,115.667
1,4481,-28.9655,-6.46998,-12.5196,1,115.833
1,4482,-29.5702,-6.36556,-11.9955,1,117.167
1,4488,-28.2418,-5.85124,-12.7724,1,107.333
1,4491,-29.1878,-5.33257,-11.692,1,115
1,4493,-28.0789,-5.0346,-12.433,1,110.25
1,4711,-30.1354,-6.04157,-11.3602,2,121
1,4710,-30.5355,-5.80831,-10.8916,1,118.5
1,4709,-31.1715,-6.31376,-10.7051,1,124
1,4704,-30.8395,-6.74605,-11.221,1,130.5
1,4706,-30.252,-6.8238,-11.7123,1,118.833
1,4713,-29.9742,-5.24592,-10.9598,1,114.75
2,4491,-29.1878,-5.33257,-11.692,0,115
2,4491,-29.1878,-5.33257,-11.692,3,115
2,4487,-29.4419,-5.85656,-11.8139,2,115
2,4486,-28.8247,-5.74937,-12.2445,1,115.667
2,4482,-29.5702,-6.36556,-11.9955,1,117.167
2,4711,-30.1354,-6.04157,-11.3602,1,121
2,4492,-28.5208,-4.82192,-11.9154,2,111
2,4493,-28.0789,-5.0346,-12.433,1,110.25
2,4496,-27.9406,-4.26502,-12.0101,1,107.5
2,4714,-28.9623,-4.71533,-11.4472,1,112.5
2,4713,-29.9742,-5.24592,-10.9598,2,114.75
2,4710,-30.5355,-5.80831,-10.8916,1,118.5
2,4715,-29.4166,-4.67152,-11.0091,1,111
2,4954,-30.7498,-5.05273,-10.1528,1,119.75
