MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,5215,-33.6203,-10.4889,-10.9362,0,125
0,5215,-33.6203,-10.4889,-10.9362,3,125
0,5214,-33.0064,-10.7715,-11.4352,2,125
0,5211,-33.153,-11.819,-11.4638,1,125
0,5212,-33.7237,-11.4302,-11.011,1,125
0,4941,-32.5331,-11.2882,-11.8478,1,118
0,4945,-32.401,-10.5697,-11.8393,1,118
0,5217,-33.0372,-9.89157,-11.2163,1,125
0,5219,-32.4449,-9.96539,-11.666,1,125
0,5218,-33.4931,-9.8904,-10.8902,2,125
0,5221,-33.2501,-9.25943,-10.8596,1,125
0,5511,-33.9944,-9.96485,-10.5272,1,128
0,5508,-34.3497,-11.0419,-10.4954,2,133
0,5507,-34.7533,-10.4108,-10.0778,1,133
0,5506,-34.9666,-11.1476,-10.066,1,126
0,5501,-34.9005,-11.8295,-10.1817,1,126
0,5503,-34.334,-12.0816,-10.6189,1,125
1,5217,-33.0372,-9.89157,-11.2163,0,125
1,5217,-33.0372,-9.89157,-11.2163,3,125
1,5214,-33.0064,-10.7715,-11.4352,2,125
1,5211,-33.153,-11.819,-11.4638,1,125
1,5212,-33.7237,-11.4302,-11.011,1,125
1,5215,-33.6203,-10.4889,-10.9362,1,125
1,4941,-32.5331,-11.2882,-11.8478,1,118
1,4945,-32.401,-10.5697,-11.8393,1,118
1,5219,-32.4449,-9.96539,-11.666,1,125
1,5218,-33.4931,-9.8904,-10.8902,2,125
1,5221,-33.2501,-9.25943,-10.8596,1,125
1,5511,-33.9944,-9.96485,-10.5272,1,128
1,5223,-32.3099,-9.03765,-11.4677,2,140
1,5222,-32.6955,-8.5368,-10.9937,1,140
1,4949,-31.8303,-9.4643,-11.9571,1,121
1,4954,-31.6927,-8.91357,-11.8785,1,140
1,5226,-32.0459,-8.08653,-11.2793,1,140
1,4958,-31.3982,-8.28143,-11.8392,1,140
2,5223,-32.3099,-9.03765,-11.4677,0,140
2,5223,-32.3099,-9.03765,-11.4677,3,140
2,5222,-32.6955,-8.5368,-10.9937,2,140
2,5221,-33.2501,-9.25943,-10.8596,1,125
2,5226,-32.0459,-8.08653,-11.2793,1,140
2,5515,-33.2379,-8.47804,-10.5659,1,140
2,5521,-32.5851,-7.88036,-10.7827,1,140
2,5217,-33.0372,-9.89157,-11.2163,2,125
2,5214,-33.0064,-10.7715,-11.4352,1,125
2,5215,-33.6203,-10.4889,-10.9362,1,125
2,5218,-33.4931,-9.8904,-10.8902,1,125
2,5219,-32.4449,-9.96539,-11.666,1,125
