MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,7423,40.5998,37.3302,8.15213,0,143.2
0,7423,40.5998,37.3302,8.15213,3,143.2
0,7422,41.1864,37.1811,7.78054,2,146
0,7424,41.0272,36.9187,8.55416,1,148.714
0,7166,41.9056,36.8544,7.5705,1,151.857
0,7165,41.4802,37.273,7.14328,1,140.8
0,7173,40.7126,37.579,7.38574,1,136.714
0,7431,39.8272,37.6168,8.36203,2,137.857
0,7430,38.9958,37.9492,8.50163,1,149
0,7172,39.8993,37.9264,7.5277,1,148.857
0,7666,40.2787,37.2163,8.76538,1,141.2
0,7667,39.6738,37.3491,9.12595,1,138.4
0,7676,38.8959,37.6269,9.33247,1,135.143
1,7424,41.0272,36.9187,8.55416,0,148.714
1,7424,41.0272,36.9187,8.55416,3,148.714
1,7423,40.5998,37.3302,8.15213,2,143.2
1,7422,41.1864,37.1811,7.78054,1,146
1,7173,40.7126,37.579,7.38574,1,136.714
1,7431,39.8272,37.6168,8.36203,1,137.857
1,7666,40.2787,37.2163,8.76538,1,141.2
1,7166,41.9056,36.8544,7.5705,2,151.857
1,7165,41.4802,37.273,7.14328,1,140.8
1,7164,42.0643,37.0865,6.72076,1,143
1,6900,42.765,36.6803,6.61356,1,148.429
1,7167,42.5863,36.4664,7.54729,1,144
1,7425,41.798,36.5596,8.42981,1,137.857
1,7668,40.1114,36.9362,9.51362,2,139.857
1,7667,39.6738,37.3491,9.12595,1,138.4
1,7669,40.9105,36.602,9.36131,1,128.714
1,7919,39.3455,37.2178,9.72963,1,134.2
1,7921,39.2075,36.9132,10.4535,1,137.429
1,7922,39.9975,36.5964,10.2983,1,123
2,7431,39.8272,37.6168,8.36203,0,137.857
2,7431,39.8272,37.6168,8.36203,3,137.857
2,7430,38.9958,37.9492,8.50163,2,149
2,7429,38.5381,38.339,8.03462,1,138
2,7428,39.1473,38.2108,7.69601,1,142.6
2,7172,39.8993,37.9264,7.5277,1,148.857
2,7673,38.2131,38.2245,8.67376,1,142.4
2,7675,38.0546,37.9544,9.47632,1,147.714
2,7676,38.8959,37.6269,9.33247,1,135.143
2,7173,40.7126,37.579,7.38574,2,136.714
2,6905,40.7047,37.8758,6.5793,1,148.667
2,6906,41.4944,37.5195,6.38472,1,139
2,7165,41.4802,37.273,7.14328,1,140.8
2,7422,41.1864,37.1811,7.78054,1,146
2,7423,40.5998,37.3302,8.15213,1,143.2
2,7666,40.2787,37.2163,8.76538,2,141.2
2,7667,39.6738,37.3491,9.12595,1,138.4
2,7668,40.1114,36.9362,9.51362,1,139.857
2,7424,41.0272,36.9187,8.55416,1,148.714
3,7669,40.9105,36.602,9.36131,0,128.714
3,7669,40.9105,36.602,9.36131,3,128.714
3,7668,40.1114,36.9362,9.51362,2,139.857
3,7667,39.6738,37.3491,9.12595,1,138.4
3,7666,40.2787,37.2163,8.76538,1,141.2
3,7424,41.0272,36.9187,8.55416,1,148.714
3,7919,39.3455,37.2178,9.72963,1,134.2
3,7921,39.2075,36.9132,10.4535,1,137.429
3,7922,39.9975,36.5964,10.2983,1,123
3,7425,41.798,36.5596,8.42981,2,137.857
3,7166,41.9056,36.8544,7.5705,1,151.857
3,7167,42.5863,36.4664,7.54729,1,144
3,7417,42.5511,36.2289,8.2265,1,143.6
3,7661,42.2474,36.1475,8.81726,1,139.2
3,7662,41.6641,36.3088,9.16325,1,135.6
3,7913,41.3446,36.1971,9.74363,2,136.8
3,7914,40.7526,36.3308,10.0844,1,129.8
3,7915,41.1936,35.9174,10.4403,1,138.286
3,7663,42.0877,35.8861,9.54934,1,144
4,7676,38.8959,37.6269,9.33247,0,135.143
4,7676,38.8959,37.6269,9.33247,3,135.143
4,7675,38.0546,37.9544,9.47632,2,147.714
4,7674,37.5856,38.3488,9.01872,1,136.8
4,7673,38.2131,38.2245,8.67376,1,142.4
4,7430,38.9958,37.9492,8.50163,1,149
4,7926,37.2549,38.2287,9.66337,1,143.4
4,7928,37.1315,37.9407,10.458,1,150.429
4,7929,37.9598,37.6135,10.3069,1,133.143
4,7431,39.8272,37.6168,8.36203,2,137.857
4,7172,39.8993,37.9264,7.5277,1,148.857
4,7173,40.7126,37.579,7.38574,1,136.714
4,7423,40.5998,37.3302,8.15213,1,143.2
4,7666,40.2787,37.2163,8.76538,1,141.2
4,7667,39.6738,37.3491,9.12595,1,138.4
4,7919,39.3455,37.2178,9.72963,2,134.2
4,7920,38.7414,37.3407,10.0846,1,137.8
4,7921,39.2075,36.9132,10.4535,1,137.429
4,7668,40.1114,36.9362,9.51362,1,139.857
5,7913,41.3446,36.1971,9.74363,0,136.8
5,7913,41.3446,36.1971,9.74363,3,136.8
5,7914,40.7526,36.3308,10.0844,2,129.8
5,7915,41.1936,35.9174,10.4403,1,138.286
5,7669,40.9105,36.602,9.36131,1,128.714
5,7922,39.9975,36.5964,10.2983,1,123
5,8167,40.4415,36.1997,10.6407,1,128.6
5,7663,42.0877,35.8861,9.54934,2,144
5,7662,41.6641,36.3088,9.16325,1,135.6
5,7661,42.2474,36.1475,8.81726,1,139.2
5,7418,42.9768,35.7964,8.61263,1,148.143
5,7664,42.8456,35.5039,9.45825,1,138.857
5,7916,41.9432,35.5739,10.3504,1,130.714
6,7915,41.1936,35.9174,10.4403,0,138.286
6,7915,41.1936,35.9174,10.4403,3,138.286
6,7914,40.7526,36.3308,10.0844,2,129.8
6,7913,41.3446,36.1971,9.74363,1,136.8
6,7669,40.9105,36.602,9.36131,1,128.714
6,7922,39.9975,36.5964,10.2983,1,123
6,8167,40.4415,36.1997,10.6407,1,128.6
6,7663,42.0877,35.8861,9.54934,2,144
6,7662,41.6641,36.3088,9.16325,1,135.6
6,7661,42.2474,36.1475,8.81726,1,139.2
6,7418,42.9768,35.7964,8.61263,1,148.143
6,7664,42.8456,35.5039,9.45825,1,138.857
6,7916,41.9432,35.5739,10.3504,1,130.714
6,8169,40.3487,35.9028,11.2683,2,126.857
6,8168,39.8585,36.297,11.0008,1,123.8
6,8170,41.0537,35.5782,11.2179,1,120.571
6,8438,39.5718,36.1308,11.5545,1,123.6
6,8440,39.6682,35.8187,12.0111,1,120.4
6,8441,40.2059,35.5584,12.0027,1,115.667
7,7928,37.1315,37.9407,10.458,0,150.429
7,7928,37.1315,37.9407,10.458,3,150.429
7,7927,36.6171,38.3626,10.0137,2,146
7,7926,37.2549,38.2287,9.66337,1,143.4
7,7684,36.7668,38.6145,9.18011,1,133.125
7,7933,35.7598,38.6543,10.2065,1,136.875
7,8178,36.3303,38.2346,10.6415,1,150.2
7,7675,38.0546,37.9544,9.47632,2,147.714
7,7674,37.5856,38.3488,9.01872,1,136.8
7,7673,38.2131,38.2245,8.67376,1,142.4
7,7430,38.9958,37.9492,8.50163,1,149
7,7676,38.8959,37.6269,9.33247,1,135.143
7,7929,37.9598,37.6135,10.3069,1,133.143
7,8180,36.3021,37.9214,11.3937,2,150.714
7,8179,35.7438,38.36,11.0116,1,147
7,8181,37.0817,37.549,11.3198,1,132.143
7,8450,35.5098,38.2308,11.6197,1,148
7,8452,35.5765,37.9423,12.2195,1,143.833
7,8453,36.3077,37.5076,12.2412,1,132.857
8,7929,37.9598,37.6135,10.3069,0,133.143
8,7929,37.9598,37.6135,10.3069,3,133.143
8,7928,37.1315,37.9407,10.458,2,150.429
8,7927,36.6171,38.3626,10.0137,1,146
8,7926,37.2549,38.2287,9.66337,1,143.4
8,7675,38.0546,37.9544,9.47632,1,147.714
8,8178,36.3303,38.2346,10.6415,1,150.2
8,8180,36.3021,37.9214,11.3937,1,150.714
8,8181,37.0817,37.549,11.3198,1,132.143
8,7676,38.8959,37.6269,9.33247,2,135.143
8,7430,38.9958,37.9492,8.50163,1,149
