MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,8193,31.2629,39.8702,11.5736,0,154
0,8193,31.2629,39.8702,11.5736,3,154
0,8192,30.4649,40.1,11.5681,2,159.429
0,8191,29.683,40.345,11.0205,1,139.2
0,8190,30.2372,40.2445,10.6142,1,147.2
0,7938,31.045,40.0371,10.6333,1,161.714
0,8460,29.5738,40.3136,11.8587,1,140.833
0,8461,30.2775,40.0729,12.5587,1,153.833
0,8462,31.1068,39.8279,12.38,1,148.167
0,8194,31.8162,39.7653,11.1467,2,143.8
0,7939,31.908,39.8479,10.3314,1,154.833
0,8195,32.656,39.5392,11.0428,1,126.875
0,8463,31.9802,39.586,12.0754,1,132.429
1,8444,37.0415,37.0955,12.2068,0,127.667
1,8444,37.0415,37.0955,12.2068,3,127.667
1,8443,37.5863,37.1312,11.6001,2,133.6
1,8445,37.7509,36.7946,12.039,1,129.8
1,8175,38.3888,36.8692,11.3087,1,137.429
1,8174,37.8479,37.3006,11.0344,1,136
1,8181,37.0817,37.549,11.3198,1,132.143
1,8453,36.3077,37.5076,12.2412,2,132.857
1,8452,35.5765,37.9423,12.2195,1,143.833
1,8180,36.3021,37.9214,11.3937,1,150.714
1,8708,36.5728,36.986,12.9377,1,127.833
1,8709,35.9122,37.308,13.1376,1,131.8
1,8713,35.5092,37.6893,12.8675,1,126.8
1,8701,37.4761,36.5144,12.7961,2,125.125
1,8702,36.703,36.6101,13.4875,1,129.6
1,8703,37.1633,36.2582,13.5709,1,133.6
1,8704,37.8203,35.9449,13.4197,1,125.143
1,8705,38.392,36.0322,12.7468,1,123.667
1,8446,38.3473,36.4592,12.0645,1,121.167
2,8451,34.9583,38.3165,12.1267,0,143
2,8451,34.9583,38.3165,12.1267,3,143
2,8450,35.5098,38.2308,11.6197,2,148
2,8452,35.5765,37.9423,12.2195,1,143.833
2,8180,36.3021,37.9214,11.3937,1,150.714
2,8179,35.7438,38.36,11.0116,1,147
2,8188,34.9648,38.6266,11.2821,1,140.143
2,8458,34.2855,38.5988,12.316,2,141.333
2,8457,33.4393,38.9443,12.5089,1,150.429
2,8187,34.1033,38.9433,11.4626,1,153.143
2,8719,33.8652,38.5157,13.3239,1,137.286
2,8712,34.7608,38.1013,12.9714,1,134.857
3,8452,35.5765,37.9423,12.2195,0,143.833
3,8452,35.5765,37.9423,12.2195,3,143.833
3,8451,34.9583,38.3165,12.1267,2,143
3,8450,35.5098,38.2308,11.6197,1,148
3,8188,34.9648,38.6266,11.2821,1,140.143
3,8458,34.2855,38.5988,12.316,1,141.333
3,8712,34.7608,38.1013,12.9714,1,134.857
3,8180,36.3021,37.9214,11.3937,2,150.714
3,8179,35.7438,38.36,11.0116,1,147
3,8178,36.3303,38.2346,10.6415,1,150.2
3,7928,37.1315,37.9407,10.458,1,150.429
3,8181,37.0817,37.549,11.3198,1,132.143
3,8453,36.3077,37.5076,12.2412,1,132.857
3,8713,35.5092,37.6893,12.8675,2,126.8
3,8709,35.9122,37.308,13.1376,1,131.8
3,8967,35.2292,37.5272,13.6822,1,129.571
4,8453,36.3077,37.5076,12.2412,0,132.857
4,8453,36.3077,37.5076,12.2412,3,132.857
4,8452,35.5765,37.9423,12.2195,2,143.833
4,8451,34.9583,38.3165,12.1267,1,143
4,8450,35.5098,38.2308,11.6197,1,148
4,8180,36.3021,37.9214,11.3937,1,150.714
4,8712,34.7608,38.1013,12.9714,1,134.857
4,8713,35.5092,37.6893,12.8675,1,126.8
4,8181,37.0817,37.549,11.3198,2,132.143
4,7928,37.1315,37.9407,10.458,1,150.429
4,7929,37.9598,37.6135,10.3069,1,133.143
4,8174,37.8479,37.3006,11.0344,1,136
4,8443,37.5863,37.1312,11.6001,1,133.6
4,8444,37.0415,37.0955,12.2068,1,127.667
4,8708,36.5728,36.986,12.9377,2,127.833
4,8709,35.9122,37.308,13.1376,1,131.8
4,8710,35.9803,36.9276,13.876,1,133.143
4,8702,36.703,36.6101,13.4875,1,129.6
4,8701,37.4761,36.5144,12.7961,1,125.125
5,8456,32.7516,39.3242,12.0284,0,140.2
5,8456,32.7516,39.3242,12.0284,3,140.2
5,8455,33.309,39.2036,11.6387,2,141.6
5,8457,33.4393,38.9443,12.5089,1,150.429
5,8187,34.1033,38.9433,11.4626,1,153.143
5,8186,33.4957,39.294,10.9484,1,138
5,8195,32.656,39.5392,11.0428,1,126.875
5,8463,31.9802,39.586,12.0754,2,132.429
5,8193,31.2629,39.8702,11.5736,1,154
5,8194,31.8162,39.7653,11.1467,1,143.8
5,8462,31.1068,39.8279,12.38,1,148.167
5,8725,31.6623,39.5519,13.1617,1,124.714
5,8717,32.5243,39.2619,12.8233,1,134.833
6,8457,33.4393,38.9443,12.5089,0,150.429
6,8457,33.4393,38.9443,12.5089,3,150.429
6,8456,32.7516,39.3242,12.0284,2,140.2
6,8455,33.309,39.2036,11.6387,1,141.6
6,8195,32.656,39.5392,11.0428,1,126.875
6,8463,31.9802,39.586,12.0754,1,132.429
6,8717,32.5243,39.2619,12.8233,1,134.833
6,8187,34.1033,38.9433,11.4626,2,153.143
6,8186,33.4957,39.294,10.9484,1,138
6,8185,34.0858,39.1843,10.5608,1,142.2
6,7932,34.8271,38.9391,10.4747,1,152.833
6,8188,34.9648,38.6266,11.2821,1,140.143
6,8458,34.2855,38.5988,12.316,1,141.333
6,8718,33.0315,38.9163,13.5075,2,141
6,8719,33.8652,38.5157,13.3239,1,137.286
6,8977,32.3209,39.2194,13.6329,1,132.4
6,8979,32.5351,39.0174,14.5062,1,138.143
6,8980,33.2976,38.6352,14.3,1,133
7,8458,34.2855,38.5988,12.316,0,141.333
7,8458,34.2855,38.5988,12.316,3,141.333
7,8457,33.4393,38.9443,12.5089,2,150.429
7,8456,32.7516,39.3242,12.0284,1,140.2
7,8455,33.309,39.2036,11.6387,1,141.6
7,8187,34.1033,38.9433,11.4626,1,153.143
7,8717,32.5243,39.2619,12.8233,1,134.833
7,8718,33.0315,38.9163,13.5075,1,141
7,8719,33.8652,38.5157,13.3239,1,137.286
7,8188,34.9648,38.6266,11.2821,2,140.143
7,7932,34.8271,38.9391,10.4747,1,152.833
7,7933,35.7598,38.6543,10.2065,1,136.875
