MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,0,1e-10,1e-10,1e-10,0,-1
0,0,1e-10,1e-10,1e-10,3,-1
0,1,20.0686,17.2732,-28.6284,2,95.4
0,2,19.7505,17.8724,-28.7155,1,97.4
0,4,20.868,17.1154,-28.6906,1,92.5
0,168,19.1472,17.2194,-28.4156,1,85.875
0,154,20.0586,16.4899,-28.4007,1,87.4286
0,3,21.5882,17.8195,-28.9122,2,93.8333
0,5,22.528,17.7297,-28.9254,1,90.3333
0,6,21.7906,16.9766,-28.7231,1,89
0,18,21.5076,18.6896,-29.0576,1,91
0,19,22.3997,18.5923,-29.0747,1,88.6667
0,14,19.834,18.7645,-28.884,2,97.2857
0,15,19.1102,18.1247,-28.6253,1,93.6
0,16,18.8769,18.8804,-28.6989,1,92.3333
0,17,20.7258,18.8944,-29.0291,1,91.6
0,26,19.5302,19.7603,-28.9531,1,89.4286
0,28,20.4787,19.6513,-29.0771,1,87.3333
1,693,12.5241,16.9865,-25.0403,0,108.5
1,693,12.5241,16.9865,-25.0403,3,108.5
1,694,12.1706,16.7245,-24.6894,2,110.25
1,695,11.8621,17.4292,-24.5993,1,110
1,689,12.5196,16.2581,-24.8297,1,108
1,871,11.9542,16.1542,-24.3184,1,108
1,688,13.1551,16.0941,-25.2533,2,106.714
1,679,13.437,15.1167,-25.0925,1,107.833
1,681,12.6883,15.571,-24.7135,1,111
1,505,13.9398,15.4558,-25.5824,1,107.143
1,510,13.7192,16.445,-25.7718,1,108.833
1,696,13.0215,17.0631,-25.4455,1,104.833
1,700,12.3852,17.9499,-25.1479,2,107.857
1,701,11.7415,18.4822,-24.7002,1,108.667
1,522,13.0016,17.8473,-25.6212,1,106.8
1,523,12.8032,18.6258,-25.6085,1,108.833
1,704,12.2111,19.0225,-25.1833,1,107.833
2,700,12.3852,17.9499,-25.1479,0,107.857
2,700,12.3852,17.9499,-25.1479,3,107.857
2,693,12.5241,16.9865,-25.0403,2,108.5
2,694,12.1706,16.7245,-24.6894,1,110.25
2,695,11.8621,17.4292,-24.5993,1,110
2,689,12.5196,16.2581,-24.8297,1,108
2,688,13.1551,16.0941,-25.2533,1,106.714
2,696,13.0215,17.0631,-25.4455,1,104.833
2,701,11.7415,18.4822,-24.7002,2,108.667
2,704,12.2111,19.0225,-25.1833,1,107.833
2,705,11.633,19.5227,-24.7386,1,107.833
2,883,11.2453,18.0458,-24.1984,1,107.833
2,888,11.145,19.0321,-24.2493,1,106
2,522,13.0016,17.8473,-25.6212,2,106.8
2,521,13.5258,18.1699,-26.0575,1,105.571
2,523,12.8032,18.6258,-25.6085,1,108.833
2,516,13.4961,17.3146,-25.8601,1,106.6
3,704,12.2111,19.0225,-25.1833,0,107.833
3,704,12.2111,19.0225,-25.1833,3,107.833
3,700,12.3852,17.9499,-25.1479,2,107.857
3,693,12.5241,16.9865,-25.0403,1,108.5
3,695,11.8621,17.4292,-24.5993,1,110
3,701,11.7415,18.4822,-24.7002,1,108.667
3,522,13.0016,17.8473,-25.6212,1,106.8
3,523,12.8032,18.6258,-25.6085,1,108.833
