MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,5598,-15.3795,27.26,0.865272,0,108.429
0,5598,-15.3795,27.26,0.865272,3,108.429
0,5597,-15.0379,26.7979,0.105047,2,104.333
0,5595,-15.0427,25.8519,-0.0587273,1,101.167
0,5596,-15.3794,26.2041,0.64416,1,109.333
0,5394,-14.6905,26.518,-0.614169,1,101
0,5395,-14.6776,27.4849,-0.367559,1,99.5
0,5606,-14.9974,27.629,0.262614,1,102.6
0,5790,-15.7155,26.4772,1.3259,2,109.667
0,5789,-15.7177,25.5135,1.21947,1,108
0,5798,-15.7294,27.352,1.52836,1,109.8
0,6007,-16.0566,25.8266,1.90172,1,107.5
0,6012,-16.0572,26.7752,2.01787,1,108.167
0,5802,-15.1716,28.1246,0.752583,2,100.8
0,5803,-15.5457,28.3267,1.50072,1,106.25
0,5607,-14.7411,28.4785,0.132851,1,97.7143
0,5806,-15.1021,28.88,0.938942,1,101.667
1,5611,-14.6998,29.451,0.526401,0,99.6667
1,5611,-14.6998,29.451,0.526401,3,99.6667
1,5607,-14.7411,28.4785,0.132851,2,97.7143
1,5606,-14.9974,27.629,0.262614,1,102.6
1,5395,-14.6776,27.4849,-0.367559,1,99.5
1,5397,-14.3715,28.2292,-0.636691,1,96.1667
1,5405,-14.3321,29.2098,-0.232275,1,96.5714
1,5802,-15.1716,28.1246,0.752583,1,100.8
1,5806,-15.1021,28.88,0.938942,1,101.667
1,5615,-14.3894,30.255,0.450881,2,97.4286
1,5614,-14.0633,29.9438,-0.283973,1,93
1,5618,-13.9818,30.5374,-0.0516,1,93.6
1,5811,-14.763,30.3626,1.12172,1,100.333
1,5814,-14.1218,31.041,0.506945,1,95.4
1,5815,-14.4775,31.3009,1.2326,1,102.75
1,5810,-15.0156,29.6484,1.15409,2,99
1,5807,-15.3825,29.4049,1.65623,1,104.5
1,6025,-15.1713,30.165,1.67144,1,101.6
2,5615,-14.3894,30.255,0.450881,0,97.4286
2,5615,-14.3894,30.255,0.450881,3,97.4286
2,5405,-14.3321,29.2098,-0.232275,2,96.5714
2,5404,-13.9597,28.8099,-1.08376,1,95.1667
2,5397,-14.3715,28.2292,-0.636691,1,96.1667
2,5409,-13.8701,29.5251,-0.848373,1,93.4
2,5607,-14.7411,28.4785,0.132851,1,97.7143
2,5611,-14.6998,29.451,0.526401,1,99.6667
