MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,6763,6.86747,42.8977,31.9338,0,106.167
0,6763,6.86747,42.8977,31.9338,3,106.167
0,6764,6.0875,42.9543,32.0819,2,99.2
0,6765,6.50744,42.5925,32.8046,1,111.429
0,6510,6.13093,43.2492,31.2927,1,99.8571
0,6781,5.20406,43.2079,32.0492,1,96.875
0,7086,5.72125,42.8346,32.654,1,102.2
0,6766,7.45559,42.5647,32.6004,2,124.167
0,6767,7.76663,42.8953,31.8756,1,115.167
0,6768,8.36755,42.5816,32.6298,1,124
0,7090,7.22508,42.2398,33.3379,1,115.333
0,7091,8.16859,42.2633,33.257,1,122.333
0,6511,7.19529,43.2094,31.1678,2,103.667
0,6249,6.54428,43.5025,30.4518,1,100.333
0,6251,7.54334,43.499,30.4398,1,109.5
0,6512,8.31551,43.2303,31.2471,1,112.429
1,6764,6.0875,42.9543,32.0819,0,99.2
1,6764,6.0875,42.9543,32.0819,3,99.2
1,6763,6.86747,42.8977,31.9338,2,106.167
1,6765,6.50744,42.5925,32.8046,1,111.429
1,6766,7.45559,42.5647,32.6004,1,124.167
1,6767,7.76663,42.8953,31.8756,1,115.167
1,6510,6.13093,43.2492,31.2927,1,99.8571
1,6511,7.19529,43.2094,31.1678,1,103.667
1,6781,5.20406,43.2079,32.0492,2,96.875
1,6508,4.43961,43.5718,31.4697,1,106.571
1,6509,5.24285,43.4355,31.1959,1,103.2
1,6780,4.45894,43.4037,32.225,1,104.25
1,7086,5.72125,42.8346,32.654,1,102.2
1,7087,5.11679,42.97,32.8997,1,103
1,7102,4.35083,43.291,33.0522,1,107.125
2,6766,7.45559,42.5647,32.6004,0,124.167
2,6766,7.45559,42.5647,32.6004,3,124.167
2,6763,6.86747,42.8977,31.9338,2,106.167
2,6764,6.0875,42.9543,32.0819,1,99.2
2,6765,6.50744,42.5925,32.8046,1,111.429
2,6767,7.76663,42.8953,31.8756,1,115.167
2,6510,6.13093,43.2492,31.2927,1,99.8571
2,6511,7.19529,43.2094,31.1678,1,103.667
2,6768,8.36755,42.5816,32.6298,2,124
2,6769,8.56501,42.9079,31.9902,1,114.8
2,6770,9.04345,42.7108,32.5621,1,117.8
2,7091,8.16859,42.2633,33.257,1,122.333
2,7092,9.28192,42.3723,33.401,1,121.556
2,7090,7.22508,42.2398,33.3379,2,115.333
2,7089,6.36477,42.2787,33.6514,1,111.333
2,7386,7.05764,41.9043,34.1053,1,128.833
2,7390,7.87382,41.9076,33.9472,1,126.167
3,6779,3.80337,43.6455,32.3117,0,113.143
3,6779,3.80337,43.6455,32.3117,3,113.143
3,6778,3.16786,43.9577,31.8606,2,105.6
3,6777,3.68335,43.8141,31.4523,1,105.6
3,6527,3.03092,44.1142,30.9266,1,99.2857
3,6796,2.4569,44.2539,31.8682,1,105.143
3,7100,3.02817,43.9579,32.6835,1,109
3,6508,4.43961,43.5718,31.4697,2,106.571
3,6507,3.88104,43.8823,30.7077,1,100.167
3,6246,4.72688,43.7014,30.6019,1,106.167
3,6509,5.24285,43.4355,31.1959,1,103.2
3,6780,4.45894,43.4037,32.225,1,104.25
3,6781,5.20406,43.2079,32.0492,1,96.875
3,7101,3.60402,43.6327,33.1942,2,116.4
3,7102,4.35083,43.291,33.0522,1,107.125
3,7415,3.02101,43.9311,33.6697,1,116.333
3,7416,3.74825,43.4868,34.1154,1,121
4,6780,4.45894,43.4037,32.225,0,104.25
4,6780,4.45894,43.4037,32.225,3,104.25
4,6779,3.80337,43.6455,32.3117,2,113.143
4,6778,3.16786,43.9577,31.8606,1,105.6
4,6777,3.68335,43.8141,31.4523,1,105.6
4,6508,4.43961,43.5718,31.4697,1,106.571
4,7100,3.02817,43.9579,32.6835,1,109
4,7101,3.60402,43.6327,33.1942,1,116.4
4,7102,4.35083,43.291,33.0522,1,107.125
4,6781,5.20406,43.2079,32.0492,2,96.875
4,6509,5.24285,43.4355,31.1959,1,103.2
4,6510,6.13093,43.2492,31.2927,1,99.8571
4,6764,6.0875,42.9543,32.0819,1,99.2
4,7086,5.72125,42.8346,32.654,1,102.2
4,7087,5.11679,42.97,32.8997,1,103
5,6781,5.20406,43.2079,32.0492,0,96.875
5,6781,5.20406,43.2079,32.0492,3,96.875
5,6508,4.43961,43.5718,31.4697,2,106.571
5,6507,3.88104,43.8823,30.7077,1,100.167
5,6246,4.72688,43.7014,30.6019,1,106.167
5,6509,5.24285,43.4355,31.1959,1,103.2
5,6777,3.68335,43.8141,31.4523,1,105.6
5,6779,3.80337,43.6455,32.3117,1,113.143
5,6780,4.45894,43.4037,32.225,1,104.25
5,6510,6.13093,43.2492,31.2927,2,99.8571
5,6247,5.61479,43.5808,30.4757,1,102.667
5,6249,6.54428,43.5025,30.4518,1,100.333
5,6511,7.19529,43.2094,31.1678,1,103.667
5,6763,6.86747,42.8977,31.9338,1,106.167
5,6764,6.0875,42.9543,32.0819,1,99.2
5,7086,5.72125,42.8346,32.654,2,102.2
5,7087,5.11679,42.97,32.8997,1,103
5,7088,5.62525,42.6073,33.4687,1,113.143
5,6765,6.50744,42.5925,32.8046,1,111.429
5,7102,4.35083,43.291,33.0522,2,107.125
5,7101,3.60402,43.6327,33.1942,1,116.4
5,7401,4.87652,42.903,33.5354,1,111.2
5,7402,4.37961,43.0919,33.9838,1,114.2
5,7416,3.74825,43.4868,34.1154,1,121
6,7091,8.16859,42.2633,33.257,0,122.333
6,7091,8.16859,42.2633,33.257,3,122.333
6,6766,7.45559,42.5647,32.6004,2,124.167
6,6763,6.86747,42.8977,31.9338,1,106.167
6,6767,7.76663,42.8953,31.8756,1,115.167
6,6765,6.50744,42.5925,32.8046,1,111.429
6,6768,8.36755,42.5816,32.6298,1,124
6,7090,7.22508,42.2398,33.3379,1,115.333
6,7092,9.28192,42.3723,33.401,2,121.556
6,6770,9.04345,42.7108,32.5621,1,117.8
6,7093,9.63472,42.7516,32.7823,1,115.4
6,7094,10.1005,42.6352,33.3403,1,120.8
6,7392,8.67886,41.9795,33.9061,1,127.667
6,7394,9.2936,42.0331,34.0102,1,124.5
6,7405,10.4642,42.4107,34.1052,1,122.857
6,7395,9.89025,42.0704,34.3228,1,124.833
6,7390,7.87382,41.9076,33.9472,2,126.167
6,7389,7.67659,41.5709,34.6975,1,143.333
6,7386,7.05764,41.9043,34.1053,1,128.833
6,7391,8.54024,41.6232,34.629,1,135.667
7,7100,3.02817,43.9579,32.6835,0,109
7,7100,3.02817,43.9579,32.6835,3,109
7,6779,3.80337,43.6455,32.3117,2,113.143
7,6778,3.16786,43.9577,31.8606,1,105.6
7,6777,3.68335,43.8141,31.4523,1,105.6
7,6508,4.43961,43.5718,31.4697,1,106.571
7,6780,4.45894,43.4037,32.225,1,104.25
7,7101,3.60402,43.6327,33.1942,1,116.4
7,7102,4.35083,43.291,33.0522,1,107.125
7,6796,2.4569,44.2539,31.8682,2,105.143
7,6525,1.6506,44.567,31.2197,1,108.833
7,6526,2.27412,44.3639,30.9156,1,104.2
7,6795,1.73687,44.5419,32.1092,1,116.833
7,6527,3.03092,44.1142,30.9266,1,99.2857
7,7116,2.33162,44.3002,33.0013,1,112.286
7,7415,3.02101,43.9311,33.6697,2,116.333
7,7416,3.74825,43.4868,34.1154,1,121
7,7426,2.41804,44.3059,34.0796,1,121.833
7,7700,3.10482,43.9257,34.6658,1,126.833
8,7115,1.59788,44.6337,32.8322,0,126.2
8,7115,1.59788,44.6337,32.8322,3,126.2
8,6795,1.73687,44.5419,32.1092,2,116.833
8,6794,0.923396,44.8146,31.4605,1,107.167
8,6525,1.6506,44.567,31.2197,1,108.833
8,6796,2.4569,44.2539,31.8682,1,105.143
8,7114,1.05166,44.8103,32.2463,1,121
8,7116,2.33162,44.3002,33.0013,1,112.286
8,7132,0.915224,44.9074,32.9387,2,113.167
8,6810,0.211023,45.0407,31.9203,1,103.143
8,7131,0.161384,45.1434,32.9552,1,108.5
8,7446,0.998234,44.9771,33.8437,1,117.5
8,7425,1.70835,44.6384,33.5975,1,119.5
9,7116,2.33162,44.3002,33.0013,0,112.286
9,7116,2.33162,44.3002,33.0013,3,112.286
9,7115,1.59788,44.6337,32.8322,2,126.2
9,6795,1.73687,44.5419,32.1092,1,116.833
9,7114,1.05166,44.8103,32.2463,1,121
9,7132,0.915224,44.9074,32.9387,1,113.167
9,7425,1.70835,44.6384,33.5975,1,119.5
9,6796,2.4569,44.2539,31.8682,2,105.143
9,6525,1.6506,44.567,31.2197,1,108.833
9,6526,2.27412,44.3639,30.9156,1,104.2
9,6527,3.03092,44.1142,30.9266,1,99.2857
9,6778,3.16786,43.9577,31.8606,1,105.6
9,7100,3.02817,43.9579,32.6835,1,109
9,7426,2.41804,44.3059,34.0796,2,121.833
9,7415,3.02101,43.9311,33.6697,1,116.333
9,7711,1.7809,44.7114,34.4903,1,130.5
9,7712,2.50175,44.3746,35.0145,1,130
9,7700,3.10482,43.9257,34.6658,1,126.833
10,7129,-1.63848,45.4949,33.0475,0,126.429
10,7129,-1.63848,45.4949,33.0475,3,126.429
10,6807,-2.53135,45.4202,32.0908,2,124.167
10,6539,-3.38452,45.3294,31.2135,1,132.667
10,6540,-2.44281,45.3189,31.1932,1,126.167
10,6806,-3.53107,45.4414,32.0628,1,129
10,6808,-1.56952,45.3515,32.1036,1,126
10,7128,-2.74359,45.5674,32.8915,1,122.167
10,7130,-0.672163,45.338,33.0261,2,120
10,6809,-0.663943,45.2277,32.039,1,109
10,7131,0.161384,45.1434,32.9552,1,108.5
10,7444,-0.526503,45.4803,34.0106,1,129.143
10,7445,0.269232,45.2566,33.9847,1,124.167
