MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,2731,-37.592,32.1522,15.0863,0,88.375
0,2731,-37.592,32.1522,15.0863,3,88.375
0,2730,-37.8529,31.4788,15.1131,2,84.5
0,2729,-37.3475,31.3956,14.697,1,85.4286
0,2728,-37.967,30.8304,15.1209,1,86.6667
0,2930,-38.4049,31.4208,15.5697,1,88
0,2732,-36.9078,32.73,14.716,2,94.2
0,2733,-37.2817,32.9841,15.1401,1,93.5
0,2541,-36.719,32.1814,14.3833,1,87.8571
0,2542,-36.2647,32.9174,14.2893,1,93.5
0,2734,-36.5878,33.4402,14.7855,1,92.5714
0,2932,-38.351,32.2122,15.7471,2,92.5
0,2931,-38.9765,31.7311,16.1099,1,91
0,2933,-37.8351,32.7573,15.5189,1,97
0,2934,-38.3338,32.919,16.0281,1,96
0,3143,-39.0003,32.3889,16.3719,1,87
1,2732,-36.9078,32.73,14.716,0,94.2
1,2732,-36.9078,32.73,14.716,3,94.2
1,2731,-37.592,32.1522,15.0863,2,88.375
1,2730,-37.8529,31.4788,15.1131,1,84.5
1,2729,-37.3475,31.3956,14.697,1,85.4286
1,2733,-37.2817,32.9841,15.1401,1,93.5
1,2541,-36.719,32.1814,14.3833,1,87.8571
1,2932,-38.351,32.2122,15.7471,1,92.5
1,2933,-37.8351,32.7573,15.5189,1,97
1,2930,-38.4049,31.4208,15.5697,1,88
1,2542,-36.2647,32.9174,14.2893,2,93.5
1,2543,-35.7454,32.5418,13.7903,1,87.375
1,2544,-35.5814,33.4552,14.0533,1,90.3333
1,2545,-36.0873,33.4776,14.3993,1,91
1,2734,-36.5878,33.4402,14.7855,1,92.5714
2,2734,-36.5878,33.4402,14.7855,0,92.5714
2,2734,-36.5878,33.4402,14.7855,3,92.5714
2,2732,-36.9078,32.73,14.716,2,94.2
2,2731,-37.592,32.1522,15.0863,1,88.375
2,2733,-37.2817,32.9841,15.1401,1,93.5
2,2541,-36.719,32.1814,14.3833,1,87.8571
2,2542,-36.2647,32.9174,14.2893,1,93.5
2,2735,-37.0424,33.5266,15.2046,2,91.25
2,2736,-36.7327,34.0721,15.2978,1,100
2,2935,-37.5677,33.4743,15.6467,1,95.2857
2,2545,-36.0873,33.4776,14.3993,2,91
2,2544,-35.5814,33.4552,14.0533,1,90.3333
2,2547,-35.9045,33.9996,14.582,1,97
3,2736,-36.7327,34.0721,15.2978,0,100
3,2736,-36.7327,34.0721,15.2978,3,100
3,2735,-37.0424,33.5266,15.2046,2,91.25
3,2734,-36.5878,33.4402,14.7855,1,92.5714
3,2733,-37.2817,32.9841,15.1401,1,93.5
3,2935,-37.5677,33.4743,15.6467,1,95.2857
3,2737,-35.745,34.588,14.8767,2,100.167
3,2738,-36.2369,34.627,15.2794,1,104
3,2547,-35.9045,33.9996,14.582,1,97
3,2548,-35.3162,34.4718,14.4669,1,95.5
3,2739,-35.7338,35.125,15.3242,1,97.5
3,2551,-34.7087,34.9743,14.4813,1,91
3,2937,-37.7214,34.0526,16.1494,2,100.25
3,2936,-38.1158,33.4684,16.1212,1,95.5
3,2938,-36.7311,34.6322,15.7116,1,106.5
3,2939,-37.2085,34.6484,16.1316,1,104.75
3,3147,-38.5643,34.1482,16.9573,1,98.25
3,3148,-37.646,34.6786,16.5509,1,101.667
3,3146,-38.7986,33.2999,16.6373,1,96.625
4,2738,-36.2369,34.627,15.2794,0,104
4,2738,-36.2369,34.627,15.2794,3,104
4,2736,-36.7327,34.0721,15.2978,2,100
4,2735,-37.0424,33.5266,15.2046,1,91.25
4,2734,-36.5878,33.4402,14.7855,1,92.5714
4,2737,-35.745,34.588,14.8767,1,100.167
4,2547,-35.9045,33.9996,14.582,1,97
4,2937,-37.7214,34.0526,16.1494,1,100.25
4,2938,-36.7311,34.6322,15.7116,1,106.5
4,2935,-37.5677,33.4743,15.6467,1,95.2857
4,2739,-35.7338,35.125,15.3242,2,97.5
4,2740,-34.8431,35.49,15.0114,1,94.2
4,2741,-35.313,35.7173,15.5625,1,95
4,2551,-34.7087,34.9743,14.4813,1,91
4,2940,-36.71,35.1788,16.1647,1,97.625
4,2941,-35.8973,35.5663,15.8573,1,96.8
5,2739,-35.7338,35.125,15.3242,0,97.5
5,2739,-35.7338,35.125,15.3242,3,97.5
5,2738,-36.2369,34.627,15.2794,2,104
5,2736,-36.7327,34.0721,15.2978,1,100
5,2737,-35.745,34.588,14.8767,1,100.167
5,2938,-36.7311,34.6322,15.7116,1,106.5
5,2740,-34.8431,35.49,15.0114,2,94.2
5,2741,-35.313,35.7173,15.5625,1,95
5,2551,-34.7087,34.9743,14.4813,1,91
5,2742,-33.961,35.6999,14.6643,1,88.5714
5,2743,-34.6237,36.0086,15.3955,1,91.3333
5,2940,-36.71,35.1788,16.1647,2,97.625
5,2939,-37.2085,34.6484,16.1316,1,104.75
5,2941,-35.8973,35.5663,15.8573,1,96.8
5,2942,-36.1956,35.6941,16.2281,1,92.75
5,3150,-37.5164,35.2762,16.9457,1,91.375
5,3151,-36.6045,35.7493,16.6322,1,93.5
5,3148,-37.646,34.6786,16.5509,1,101.667
6,2741,-35.313,35.7173,15.5625,0,95
6,2741,-35.313,35.7173,15.5625,3,95
6,2739,-35.7338,35.125,15.3242,2,97.5
6,2738,-36.2369,34.627,15.2794,1,104
6,2737,-35.745,34.588,14.8767,1,100.167
6,2740,-34.8431,35.49,15.0114,1,94.2
6,2551,-34.7087,34.9743,14.4813,1,91
6,2940,-36.71,35.1788,16.1647,1,97.625
6,2941,-35.8973,35.5663,15.8573,1,96.8
6,2938,-36.7311,34.6322,15.7116,1,106.5
6,2743,-34.6237,36.0086,15.3955,2,91.3333
6,2742,-33.961,35.6999,14.6643,1,88.5714
6,2744,-33.6976,36.2826,15.1174,1,89.5714
6,2943,-35.5638,36.1824,16.2754,1,93
6,2944,-34.5739,36.4379,15.8542,1,89.5
7,2743,-34.6237,36.0086,15.3955,0,91.3333
7,2743,-34.6237,36.0086,15.3955,3,91.3333
7,2741,-35.313,35.7173,15.5625,2,95
7,2739,-35.7338,35.125,15.3242,1,97.5
7,2740,-34.8431,35.49,15.0114,1,94.2
7,2941,-35.8973,35.5663,15.8573,1,96.8
7,2943,-35.5638,36.1824,16.2754,1,93
7,2742,-33.961,35.6999,14.6643,2,88.5714
7,2551,-34.7087,34.9743,14.4813,1,91
7,2552,-33.7013,35.1633,14.0265,1,88.5
7,2554,-33.3195,35.6603,14.2387,1,88.25
7,2744,-33.6976,36.2826,15.1174,1,89.5714
7,2556,-32.7504,36.1093,14.4158,1,87.5
7,2944,-34.5739,36.4379,15.8542,2,89.5
7,2945,-33.8642,36.7084,15.7183,1,89.8
7,2946,-34.2444,36.8289,16.1182,1,88
7,3156,-34.8789,36.84,16.5778,1,89.5714
8,2928,-39.1377,31.0399,16.0791,0,87.6667
8,2928,-39.1377,31.0399,16.0791,3,87.6667
8,2927,-39.193,30.315,16.0319,2,84.4
8,2925,-39.571,29.8775,16.2996,1,85.6
8,2923,-38.9329,29.5525,15.8738,1,84.4286
8,2929,-38.5818,30.4435,15.5913,1,83.8571
8,3137,-39.756,30.5524,16.4954,1,82.8333
8,2930,-38.4049,31.4208,15.5697,2,88
8,2931,-38.9765,31.7311,16.1099,1,91
8,2728,-37.967,30.8304,15.1209,1,86.6667
8,2730,-37.8529,31.4788,15.1131,1,84.5
8,2932,-38.351,32.2122,15.7471,1,92.5
8,2731,-37.592,32.1522,15.0863,1,88.375
8,3140,-39.767,31.502,16.7021,2,90.25
8,3139,-40.2609,31.9402,17.2369,1,94.6667
8,3138,-40.7429,31.1709,17.4002,1,90.7143
8,3135,-40.3118,30.5787,16.9373,1,87.5
8,3141,-39.5396,32.4961,16.87,1,94
8,3143,-39.0003,32.3889,16.3719,1,87
9,2930,-38.4049,31.4208,15.5697,0,88
9,2930,-38.4049,31.4208,15.5697,3,88
9,2929,-38.5818,30.4435,15.5913,2,83.8571
9,2928,-39.1377,31.0399,16.0791,1,87.6667
9,2927,-39.193,30.315,16.0319,1,84.4
9,2923,-38.9329,29.5525,15.8738,1,84.4286
9,2926,-38.3814,29.5412,15.482,1,80.4
9,2726,-37.935,30.0031,15.0968,1,83.6667
9,2728,-37.967,30.8304,15.1209,1,86.6667
9,2931,-38.9765,31.7311,16.1099,2,91
9,2932,-38.351,32.2122,15.7471,1,92.5
9,3140,-39.767,31.502,16.7021,1,90.25
9,3143,-39.0003,32.3889,16.3719,1,87
9,2730,-37.8529,31.4788,15.1131,2,84.5
9,2729,-37.3475,31.3956,14.697,1,85.4286
9,2731,-37.592,32.1522,15.0863,1,88.375
10,2944,-34.5739,36.4379,15.8542,0,89.5
10,2944,-34.5739,36.4379,15.8542,3,89.5
10,2943,-35.5638,36.1824,16.2754,2,93
10,2942,-36.1956,35.6941,16.2281,1,92.75
10,2941,-35.8973,35.5663,15.8573,1,96.8
10,2741,-35.313,35.7173,15.5625,1,95
10,2743,-34.6237,36.0086,15.3955,1,91.3333
10,3153,-36.6416,36.2387,17.1703,1,93.625
10,3154,-35.767,36.6036,16.91,1,92
10,3151,-36.6045,35.7493,16.6322,1,93.5
10,3156,-34.8789,36.84,16.5778,1,89.5714
10,2945,-33.8642,36.7084,15.7183,2,89.8
10,2946,-34.2444,36.8289,16.1182,1,88
10,2744,-33.6976,36.2826,15.1174,1,89.5714
10,2746,-33.2992,36.804,15.5064,1,88.4
10,2947,-33.6145,37.2106,16.2683,1,88.7778
11,2946,-34.2444,36.8289,16.1182,0,88
11,2946,-34.2444,36.8289,16.1182,3,88
11,2944,-34.5739,36.4379,15.8542,2,89.5
11,2943,-35.5638,36.1824,16.2754,1,93
11,2743,-34.6237,36.0086,15.3955,1,91.3333
11,2945,-33.8642,36.7084,15.7183,1,89.8
11,2744,-33.6976,36.2826,15.1174,1,89.5714
11,3156,-34.8789,36.84,16.5778,1,89.5714
11,2947,-33.6145,37.2106,16.2683,2,88.7778
11,2746,-33.2992,36.804,15.5064,1,88.4
11,2748,-32.5874,37.0417,15.4517,1,89.5
11,2948,-32.4797,37.4283,15.9586,1,87.8333
11,3158,-34.6276,37.3532,17.0958,1,90.5714
11,3159,-33.7576,37.6284,16.9634,1,88.4
11,3161,-32.9916,37.7219,16.687,1,84.5
12,2947,-33.6145,37.2106,16.2683,0,88.7778
12,2947,-33.6145,37.2106,16.2683,3,88.7778
12,2946,-34.2444,36.8289,16.1182,2,88
12,2944,-34.5739,36.4379,15.8542,1,89.5
12,2945,-33.8642,36.7084,15.7183,1,89.8
12,3156,-34.8789,36.84,16.5778,1,89.5714
12,2746,-33.2992,36.804,15.5064,2,88.4
12,2744,-33.6976,36.2826,15.1174,1,89.5714
12,2745,-32.8702,36.5752,14.9868,1,89.8
12,2748,-32.5874,37.0417,15.4517,1,89.5
12,2948,-32.4797,37.4283,15.9586,2,87.8333
12,2949,-31.659,37.6595,15.9345,1,87.6
12,2950,-32.1715,37.8286,16.4429,1,83.6
12,2749,-31.497,37.2334,15.2261,1,90.25
12,3161,-32.9916,37.7219,16.687,1,84.5
12,3158,-34.6276,37.3532,17.0958,2,90.5714
12,3157,-35.5916,37.0765,17.3672,1,92.6667
12,3159,-33.7576,37.6284,16.9634,1,88.4
12,3160,-34.1853,37.8224,17.5194,1,89.2
12,3366,-34.8372,37.7432,17.7955,1,91.6
12,3365,-35.5665,37.4814,17.8974,1,90.3333
13,3131,-40.7802,29.0504,17.2712,0,83.3333
13,3131,-40.7802,29.0504,17.2712,3,83.3333
13,3130,-40.673,28.2976,17.309,2,81.4
13,3129,-40.1447,28.5445,16.8932,1,81.3333
13,3128,-40.1643,27.8126,17.0768,1,80.8
13,3341,-41.2731,28.3767,17.7848,1,87
13,3340,-40.6437,27.5489,17.5115,1,80.8333
13,3133,-40.1541,29.5651,16.7723,2,82.875
13,3134,-40.8228,29.867,17.2676,1,87
13,2924,-39.5268,29.2866,16.307,1,83.4
13,2925,-39.571,29.8775,16.2996,1,85.6
13,3132,-39.6091,28.6073,16.5043,1,79.6667
13,3135,-40.3118,30.5787,16.9373,1,87.5
13,3137,-39.756,30.5524,16.4954,1,82.8333
13,3343,-41.3831,29.3723,17.7421,2,89
13,3342,-41.9043,28.8148,18.2619,1,87.3333
13,3344,-41.9191,29.7255,18.2116,1,89.5
13,3345,-41.3452,30.3573,17.7507,1,88.4286
14,3133,-40.1541,29.5651,16.7723,0,82.875
14,3133,-40.1541,29.5651,16.7723,3,82.875
14,3129,-40.1447,28.5445,16.8932,2,81.3333
14,3130,-40.673,28.2976,17.309,1,81.4
14,3131,-40.7802,29.0504,17.2712,1,83.3333
14,3128,-40.1643,27.8126,17.0768,1,80.8
14,3127,-39.4416,27.59,16.6926,1,83
14,3132,-39.6091,28.6073,16.5043,1,79.6667
14,3134,-40.8228,29.867,17.2676,2,87
14,3135,-40.3118,30.5787,16.9373,1,87.5
14,3136,-40.8388,30.5163,17.3239,1,87.75
14,3343,-41.3831,29.3723,17.7421,1,89
14,3345,-41.3452,30.3573,17.7507,1,88.4286
14,2924,-39.5268,29.2866,16.307,2,83.4
14,2923,-38.9329,29.5525,15.8738,1,84.4286
14,2925,-39.571,29.8775,16.2996,1,85.6
14,2922,-39.0673,28.8231,16.0679,1,82.8
14,3137,-39.756,30.5524,16.4954,2,82.8333
14,2927,-39.193,30.315,16.0319,1,84.4
14,2928,-39.1377,31.0399,16.0791,1,87.6667
14,3140,-39.767,31.502,16.7021,1,90.25
15,3137,-39.756,30.5524,16.4954,0,82.8333
