MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,7800,0.527843,52.8903,31.173,0,89
0,7800,0.527843,52.8903,31.173,3,89
0,7799,0.0689085,53.2307,30.455,2,79.4
0,7798,0.894786,53.1741,30.2831,1,81.5
0,7564,0.0797927,53.4819,29.637,1,76.1429
0,7816,-0.895551,53.3984,30.3044,1,75
0,8050,-0.379822,53.1149,30.9997,1,79.8
0,7801,1.55675,52.8299,30.8776,2,87.6667
0,7802,1.80985,53.1277,30.0586,1,79.6667
0,7803,2.54435,52.7792,30.5679,1,84
0,8052,1.26187,52.5128,31.6722,1,81.8333
0,8053,2.27401,52.4442,31.3707,1,78
0,8049,-0.47541,52.8651,31.736,2,85.1667
0,8046,-1.19307,53.1769,31.2227,1,81
0,8048,-1.44749,52.9219,32.2018,1,87.1429
0,8051,0.307178,52.5698,32.0035,1,83
0,8332,-0.649271,52.5541,32.5825,1,79.1429
1,7801,1.55675,52.8299,30.8776,0,87.6667
1,7801,1.55675,52.8299,30.8776,3,87.6667
1,7798,0.894786,53.1741,30.2831,2,81.5
1,7799,0.0689085,53.2307,30.455,1,79.4
1,7800,0.527843,52.8903,31.173,1,89
1,7802,1.80985,53.1277,30.0586,1,79.6667
1,7564,0.0797927,53.4819,29.637,1,76.1429
1,7565,1.1408,53.434,29.4346,1,73
1,7803,2.54435,52.7792,30.5679,2,84
1,7804,2.64521,53.0554,29.8907,1,80.2
1,7548,3.55224,52.7763,30.0366,1,85.4286
1,7805,3.32603,52.4512,30.842,1,78.5
1,8053,2.27401,52.4442,31.3707,1,78
1,8052,1.26187,52.5128,31.6722,2,81.8333
1,8051,0.307178,52.5698,32.0035,1,83
1,8316,0.946815,52.1762,32.4629,1,85.8333
1,8320,1.81715,52.0865,32.2232,1,83.6667
2,8040,3.09293,52.1651,31.5087,0,80.8
2,8040,3.09293,52.1651,31.5087,3,80.8
2,8039,3.88649,52.0126,31.317,2,85
2,8041,3.32785,51.7492,32.0722,1,87
2,8042,4.19244,51.4852,31.9753,1,86.5714
2,8043,4.68836,51.7872,31.1606,1,82.6667
2,7805,3.32603,52.4512,30.842,1,78.5
2,7806,4.35639,52.3236,30.4348,1,76.4286
2,8053,2.27401,52.4442,31.3707,2,78
2,7801,1.55675,52.8299,30.8776,1,87.6667
2,7803,2.54435,52.7792,30.5679,1,84
2,8052,1.26187,52.5128,31.6722,1,81.8333
2,8320,1.81715,52.0865,32.2232,1,83.6667
2,8322,2.57836,52.018,32.0075,1,81
3,8041,3.32785,51.7492,32.0722,0,87
3,8041,3.32785,51.7492,32.0722,3,87
3,8040,3.09293,52.1651,31.5087,2,80.8
3,8039,3.88649,52.0126,31.317,1,85
3,7805,3.32603,52.4512,30.842,1,78.5
3,8053,2.27401,52.4442,31.3707,1,78
3,8322,2.57836,52.018,32.0075,1,81
3,8042,4.19244,51.4852,31.9753,2,86.5714
3,8043,4.68836,51.7872,31.1606,1,82.6667
3,8034,5.03414,51.3372,31.624,1,90
3,8311,4.89769,51.0657,32.1317,1,87.2
3,8312,4.35855,50.9267,32.7029,1,83.3333
3,8323,3.50679,51.2967,32.6695,1,81.1667
3,8321,2.49294,51.6102,32.7083,2,85
3,8320,1.81715,52.0865,32.2232,1,83.6667
3,8319,1.42098,51.7342,33.0282,1,88.5714
3,8584,2.05324,51.2957,33.4546,1,88.6667
3,8588,2.92395,51.1028,33.2977,1,84.8333
4,8042,4.19244,51.4852,31.9753,0,86.5714
4,8042,4.19244,51.4852,31.9753,3,86.5714
4,8039,3.88649,52.0126,31.317,2,85
4,8040,3.09293,52.1651,31.5087,1,80.8
4,8041,3.32785,51.7492,32.0722,1,87
4,8043,4.68836,51.7872,31.1606,1,82.6667
4,7805,3.32603,52.4512,30.842,1,78.5
4,7806,4.35639,52.3236,30.4348,1,76.4286
4,8034,5.03414,51.3372,31.624,2,90
4,8033,5.59852,51.3741,31.1195,1,87.8571
4,8035,5.78682,50.8473,31.7611,1,91.7143
4,8311,4.89769,51.0657,32.1317,1,87.2
4,8312,4.35855,50.9267,32.7029,2,83.3333
4,8313,5.13105,50.6692,32.5386,1,85
4,8323,3.50679,51.2967,32.6695,1,81.1667
4,8577,4.83555,50.2616,33.3437,1,84.75
4,8590,3.81404,50.7737,33.2784,1,82.1667
5,8048,-1.44749,52.9219,32.2018,0,87.1429
5,8048,-1.44749,52.9219,32.2018,3,87.1429
5,8047,-1.9696,53.2444,31.488,2,80.2
5,8046,-1.19307,53.1769,31.2227,1,81
5,7815,-1.99209,53.4511,30.6189,1,77
5,8063,-2.93873,53.4279,31.4349,1,78.25
5,8328,-2.29997,53.1487,32.126,1,82.2
5,8049,-0.47541,52.8651,31.736,2,85.1667
5,8050,-0.379822,53.1149,30.9997,1,79.8
5,7800,0.527843,52.8903,31.173,1,89
5,8051,0.307178,52.5698,32.0035,1,83
5,8332,-0.649271,52.5541,32.5825,1,79.1429
5,8330,-2.35651,52.9275,33.0067,2,89.5714
5,8329,-2.95208,53.2431,32.3754,1,81.2
5,8331,-1.53761,52.6289,33.0908,1,86.8333
5,8602,-3.1837,53.1503,33.0688,1,84
5,8604,-3.09906,52.9181,33.9763,1,89.4286
5,8605,-2.26163,52.6237,33.8862,1,87.1667
6,8049,-0.47541,52.8651,31.736,0,85.1667
6,8049,-0.47541,52.8651,31.736,3,85.1667
6,8046,-1.19307,53.1769,31.2227,2,81
6,8047,-1.9696,53.2444,31.488,1,80.2
6,8048,-1.44749,52.9219,32.2018,1,87.1429
6,8050,-0.379822,53.1149,30.9997,1,79.8
6,7815,-1.99209,53.4511,30.6189,1,77
6,7816,-0.895551,53.3984,30.3044,1,75
6,7800,0.527843,52.8903,31.173,2,89
6,7799,0.0689085,53.2307,30.455,1,79.4
6,7798,0.894786,53.1741,30.2831,1,81.5
6,7801,1.55675,52.8299,30.8776,1,87.6667
6,8051,0.307178,52.5698,32.0035,1,83
6,8052,1.26187,52.5128,31.6722,1,81.8333
6,8332,-0.649271,52.5541,32.5825,2,79.1429
6,8331,-1.53761,52.6289,33.0908,1,86.8333
6,8317,0.154169,52.2816,32.6695,1,83.4
6,8594,-0.915591,52.2485,33.4732,1,87.5
6,8598,-0.282544,52.139,33.2338,1,84
7,8053,2.27401,52.4442,31.3707,0,78
7,8053,2.27401,52.4442,31.3707,3,78
7,7801,1.55675,52.8299,30.8776,2,87.6667
7,7798,0.894786,53.1741,30.2831,1,81.5
7,7802,1.80985,53.1277,30.0586,1,79.6667
7,7800,0.527843,52.8903,31.173,1,89
7,7803,2.54435,52.7792,30.5679,1,84
7,8052,1.26187,52.5128,31.6722,1,81.8333
7,7805,3.32603,52.4512,30.842,2,78.5
7,7548,3.55224,52.7763,30.0366,1,85.4286
7,7806,4.35639,52.3236,30.4348,1,76.4286
7,8039,3.88649,52.0126,31.317,1,85
7,8040,3.09293,52.1651,31.5087,1,80.8
7,8320,1.81715,52.0865,32.2232,2,83.6667
7,8319,1.42098,51.7342,33.0282,1,88.5714
7,8316,0.946815,52.1762,32.4629,1,85.8333
7,8321,2.49294,51.6102,32.7083,1,85
7,8322,2.57836,52.018,32.0075,1,81
8,8307,6.36309,49.9597,32.5946,0,84.6667
8,8307,6.36309,49.9597,32.5946,3,84.6667
8,8306,7.12526,49.8292,32.1757,2,90
8,8308,6.81209,49.6558,32.6758,1,89.25
8,8301,7.2611,49.403,32.6776,1,94.4
8,8300,7.98433,49.31,32.2454,1,89.25
8,8028,7.52426,49.9923,31.5989,1,91.8333
8,8036,6.64281,50.3967,31.7203,1,90.1429
8,8314,5.74942,50.3298,32.5483,2,81.3333
8,8313,5.13105,50.6692,32.5386,1,85
8,8035,5.78682,50.8473,31.7611,1,91.7143
8,8577,4.83555,50.2616,33.3437,1,84.75
8,8581,5.74631,49.7943,33.3148,1,84.3333
8,8571,6.5969,49.3924,33.2053,2,89.8571
8,8572,6.17033,49.1597,33.8569,1,87
8,8573,6.92554,48.8461,33.6874,1,91.2
8,8302,7.4715,48.9819,33.0918,1,97.8333
9,8311,4.89769,51.0657,32.1317,0,87.2
9,8311,4.89769,51.0657,32.1317,3,87.2
9,8312,4.35855,50.9267,32.7029,2,83.3333
9,8313,5.13105,50.6692,32.5386,1,85
9,8042,4.19244,51.4852,31.9753,1,86.5714
9,8323,3.50679,51.2967,32.6695,1,81.1667
9,8577,4.83555,50.2616,33.3437,1,84.75
9,8590,3.81404,50.7737,33.2784,1,82.1667
9,8035,5.78682,50.8473,31.7611,2,91.7143
9,8034,5.03414,51.3372,31.624,1,90
9,8033,5.59852,51.3741,31.1195,1,87.8571
9,7787,6.61692,50.9325,30.9192,1,98.7143
9,8036,6.64281,50.3967,31.7203,1,90.1429
9,8314,5.74942,50.3298,32.5483,1,81.3333
10,8313,5.13105,50.6692,32.5386,0,85
10,8313,5.13105,50.6692,32.5386,3,85
10,8312,4.35855,50.9267,32.7029,2,83.3333
10,8311,4.89769,51.0657,32.1317,1,87.2
10,8042,4.19244,51.4852,31.9753,1,86.5714
10,8323,3.50679,51.2967,32.6695,1,81.1667
10,8577,4.83555,50.2616,33.3437,1,84.75
10,8590,3.81404,50.7737,33.2784,1,82.1667
10,8035,5.78682,50.8473,31.7611,2,91.7143
10,8034,5.03414,51.3372,31.624,1,90
10,8033,5.59852,51.3741,31.1195,1,87.8571
10,7787,6.61692,50.9325,30.9192,1,98.7143
10,8036,6.64281,50.3967,31.7203,1,90.1429
10,8314,5.74942,50.3298,32.5483,1,81.3333
11,8314,5.74942,50.3298,32.5483,0,81.3333
11,8314,5.74942,50.3298,32.5483,3,81.3333
11,8313,5.13105,50.6692,32.5386,2,85
11,8312,4.35855,50.9267,32.7029,1,83.3333
11,8311,4.89769,51.0657,32.1317,1,87.2
11,8035,5.78682,50.8473,31.7611,1,91.7143
11,8577,4.83555,50.2616,33.3437,1,84.75
11,8036,6.64281,50.3967,31.7203,2,90.1429
11,7787,6.61692,50.9325,30.9192,1,98.7143
11,7788,7.49593,50.5151,30.7873,1,93
11,8028,7.52426,49.9923,31.5989,1,91.8333
11,8306,7.12526,49.8292,32.1757,1,90
11,8307,6.36309,49.9597,32.5946,1,84.6667
11,8581,5.74631,49.7943,33.3148,2,84.3333
11,8580,5.19106,49.5599,34.1082,1,87.4286
11,8572,6.17033,49.1597,33.8569,1,87
11,8571,6.5969,49.3924,33.2053,1,89.8571
12,8330,-2.35651,52.9275,33.0067,0,89.5714
12,8330,-2.35651,52.9275,33.0067,3,89.5714
12,8329,-2.95208,53.2431,32.3754,2,81.2
12,8328,-2.29997,53.1487,32.126,1,82.2
12,8063,-2.93873,53.4279,31.4349,1,78.25
12,8339,-3.83772,53.4413,32.3996,1,77.875
12,8602,-3.1837,53.1503,33.0688,1,84
12,8048,-1.44749,52.9219,32.2018,2,87.1429
12,8047,-1.9696,53.2444,31.488,1,80.2
12,8046,-1.19307,53.1769,31.2227,1,81
12,8049,-0.47541,52.8651,31.736,1,85.1667
12,8331,-1.53761,52.6289,33.0908,1,86.8333
12,8332,-0.649271,52.5541,32.5825,1,79.1429
12,8604,-3.09906,52.9181,33.9763,2,89.4286
12,8603,-3.78385,53.2538,33.4212,1,81.6
12,8605,-2.26163,52.6237,33.8862,1,87.1667
12,8875,-4.02532,53.1871,34.2368,1,81
12,8876,-3.50231,52.8612,34.992,1,88.1667
12,8877,-2.68963,52.5414,34.8441,1,85
13,8566,8.32299,48.0228,33.7411,0,85
13,8566,8.32299,48.0228,33.7411,3,85
