MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,4718,-41.9743,49.309,17.938,0,73.4286
0,4718,-41.9743,49.309,17.938,3,73.4286
0,4522,-41.9609,48.9622,16.7884,2,67
0,4521,-42.3702,48.3242,16.6963,1,68.2
0,4311,-42.1579,48.3133,15.8924,1,64.8333
0,4315,-41.7833,48.8261,15.7611,1,61.1667
0,4525,-41.459,49.4803,16.2931,1,63.6667
0,4717,-42.3853,48.5684,17.4753,1,65.8333
0,4721,-41.5786,49.6109,17.1712,1,67.1667
0,4928,-42.4985,48.6796,18.3987,2,74.5
0,4925,-42.9805,48.007,18.8433,1,80.1429
0,4714,-42.7845,48.0669,17.9049,1,74.4
0,4929,-42.1904,49.2823,18.8775,1,77.6
0,5144,-42.6162,48.756,19.336,1,76.3333
0,4932,-41.4353,50.029,17.9732,2,67.1667
0,4933,-41.7159,49.9465,18.8975,1,81
0,4722,-41.2186,50.1064,17.3115,1,61.25
0,4936,-41.1015,50.5843,18.4652,1,69.8333
0,4725,-40.7954,50.6166,17.4084,1,62.375
1,4725,-40.7954,50.6166,17.4084,0,62.375
1,4725,-40.7954,50.6166,17.4084,3,62.375
1,4722,-41.2186,50.1064,17.3115,2,61.25
1,4526,-41.0624,50.0822,16.629,1,62.5
1,4721,-41.5786,49.6109,17.1712,1,67.1667
1,4932,-41.4353,50.029,17.9732,1,67.1667
1,4529,-40.5398,50.578,16.3247,2,63.5
1,4319,-40.9103,49.9411,15.6578,1,61.5714
1,4322,-40.3302,50.5066,15.374,1,62.1667
1,4323,-39.9191,51.0917,15.9193,1,62.8333
1,4530,-40.1436,51.1264,16.8038,1,61
1,4726,-40.3162,51.147,17.4651,2,58.25
1,4729,-39.7998,51.6558,17.4818,1,61
1,4937,-40.5083,51.14,18.1138,1,62
1,4936,-41.1015,50.5843,18.4652,2,69.8333
1,4933,-41.7159,49.9465,18.8975,1,81
1,4938,-40.752,51.1644,18.9901,1,72.1667
1,5151,-41.3055,50.6546,19.4171,1,77.5
2,4726,-40.3162,51.147,17.4651,0,58.25
2,4726,-40.3162,51.147,17.4651,3,58.25
2,4530,-40.1436,51.1264,16.8038,2,61
2,4323,-39.9191,51.0917,15.9193,1,62.8333
2,4529,-40.5398,50.578,16.3247,1,63.5
2,4533,-39.5066,51.6231,16.4553,1,62.6667
2,4725,-40.7954,50.6166,17.4084,1,62.375
2,4729,-39.7998,51.6558,17.4818,1,61
2,4937,-40.5083,51.14,18.1138,2,62
2,4936,-41.1015,50.5843,18.4652,1,69.8333
2,4938,-40.752,51.1644,18.9901,1,72.1667
2,4941,-40.1204,51.6669,18.4914,1,67.8333
