MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,1,-8.52471,7.81552,-41.9283,2,180.8
0,2,-8.89749,8.39902,-42.0704,1,175.2
0,4,-7.70423,7.67749,-41.946,1,186.833
0,282,-9.45837,7.72732,-41.7482,1,167.25
0,265,-8.45053,7.06183,-41.6271,1,178.714
0,3,-7.01478,8.3794,-42.193,2,192.833
0,5,-6.0711,8.32748,-42.178,1,196.667
0,6,-6.77865,7.56703,-41.9366,1,187
0,14,-7.08908,9.22505,-42.3785,1,185.667
0,15,-6.16315,9.15358,-42.3704,1,186.667
0,10,-8.92723,9.32327,-42.285,2,173.75
0,11,-9.57774,8.56603,-42.0208,1,167.8
0,12,-9.92626,9.18398,-42.1362,1,163.6
0,13,-7.91362,9.41449,-42.3835,1,180.2
0,27,-9.87593,10.0863,-42.3314,1,160.429
0,29,-8.90696,10.262,-42.4432,1,164.4
0,30,-8.07884,10.163,-42.4746,1,171.833
1,4997,-18.6588,7.54128,-16.9984,0,195.5
1,4997,-18.6588,7.54128,-16.9984,3,195.5
1,4772,-18.6873,7.48277,-18.0437,2,197
1,4556,-18.7415,7.43163,-19.1047,1,199.167
1,4555,-19.5943,7.46669,-18.9968,1,204.5
1,4771,-19.5727,7.50162,-17.9664,1,204
1,4773,-17.8198,7.37131,-18.1729,1,195.143
1,4998,-17.7845,7.47121,-17.0484,1,193.833
1,4996,-19.5683,7.53783,-16.9487,2,205.833
1,4770,-20.4634,7.43819,-17.8814,1,216.833
1,4995,-20.4822,7.46678,-16.8667,1,218.5
1,5214,-19.5722,7.57222,-15.9437,1,206
1,5215,-18.63,7.59161,-15.9829,1,195.333
1,5216,-17.6826,7.55151,-15.9969,2,192.667
1,5217,-16.7408,7.44382,-16.006,1,191.286
1,5435,-17.6572,7.61968,-14.9939,1,192.333
1,5436,-16.6735,7.5617,-14.9792,1,191.833
2,5215,-18.63,7.59161,-15.9829,0,195.333
2,5215,-18.63,7.59161,-15.9829,3,195.333
2,4997,-18.6588,7.54128,-16.9984,2,195.5
2,4772,-18.6873,7.48277,-18.0437,1,197
2,4771,-19.5727,7.50162,-17.9664,1,204
2,4996,-19.5683,7.53783,-16.9487,1,205.833
2,4998,-17.7845,7.47121,-17.0484,1,193.833
2,5216,-17.6826,7.55151,-15.9969,1,192.667
2,5214,-19.5722,7.57222,-15.9437,2,206
2,4995,-20.4822,7.46678,-16.8667,1,218.5
2,5213,-20.5121,7.49981,-15.8565,1,218.833
2,5433,-19.559,7.60748,-14.9437,1,206
2,5434,-18.6201,7.6329,-14.9838,1,196.167
2,5435,-17.6572,7.61968,-14.9939,2,192.333
2,5436,-16.6735,7.5617,-14.9792,1,191.833
2,5657,-17.6584,7.66689,-14,1,194.167
2,5658,-16.6781,7.64356,-13.9925,1,191.833
3,5434,-18.6201,7.6329,-14.9838,0,196.167
3,5434,-18.6201,7.6329,-14.9838,3,196.167
3,5215,-18.63,7.59161,-15.9829,2,195.333
3,4997,-18.6588,7.54128,-16.9984,1,195.5
3,4996,-19.5683,7.53783,-16.9487,1,205.833
3,5214,-19.5722,7.57222,-15.9437,1,206
3,5216,-17.6826,7.55151,-15.9969,1,192.667
3,5435,-17.6572,7.61968,-14.9939,1,192.333
3,5433,-19.559,7.60748,-14.9437,2,206
3,5213,-20.5121,7.49981,-15.8565,1,218.833
3,5432,-20.4513,7.54939,-14.852,1,219
3,5655,-19.5457,7.64165,-13.9345,1,205.833
3,5656,-18.6174,7.66549,-13.9834,1,198.833
3,5657,-17.6584,7.66689,-14,2,194.167
3,5658,-16.6781,7.64356,-13.9925,1,191.833
3,5874,-17.6657,7.69766,-13.0042,1,195.833
3,5875,-16.6893,7.69162,-13.0068,1,194.333
4,5656,-18.6174,7.66549,-13.9834,0,198.833
4,5656,-18.6174,7.66549,-13.9834,3,198.833
4,5434,-18.6201,7.6329,-14.9838,2,196.167
4,5215,-18.63,7.59161,-15.9829,1,195.333
4,5214,-19.5722,7.57222,-15.9437,1,206
4,5433,-19.559,7.60748,-14.9437,1,206
4,5435,-17.6572,7.61968,-14.9939,1,192.333
4,5657,-17.6584,7.66689,-14,1,194.167
4,5655,-19.5457,7.64165,-13.9345,2,205.833
4,5432,-20.4513,7.54939,-14.852,1,219
4,5654,-20.4283,7.59421,-13.8311,1,216.833
4,5872,-19.5649,7.66902,-12.9344,1,203.5
4,5873,-18.6246,7.69112,-12.9817,1,199.833
4,5874,-17.6657,7.69766,-13.0042,2,195.833
4,5875,-16.6893,7.69162,-13.0068,1,194.333
4,6100,-17.6779,7.71963,-12.008,1,198.5
4,6101,-16.7018,7.71977,-12.0169,1,198.833
5,5873,-18.6246,7.69112,-12.9817,0,199.833
5,5873,-18.6246,7.69112,-12.9817,3,199.833
5,5656,-18.6174,7.66549,-13.9834,2,198.833
5,5434,-18.6201,7.6329,-14.9838,1,196.167
5,5433,-19.559,7.60748,-14.9437,1,206
5,5655,-19.5457,7.64165,-13.9345,1,205.833
5,5657,-17.6584,7.66689,-14,1,194.167
5,5874,-17.6657,7.69766,-13.0042,1,195.833
5,5872,-19.5649,7.66902,-12.9344,2,203.5
5,5654,-20.4283,7.59421,-13.8311,1,216.833
5,5871,-20.5112,7.61869,-12.8861,1,213.5
5,6098,-19.6093,7.69137,-11.9611,1,201.5
5,6099,-18.6448,7.71228,-11.9879,1,200.333
5,6100,-17.6779,7.71963,-12.008,2,198.5
5,6101,-16.7018,7.71977,-12.0169,1,198.833
5,6329,-17.6936,7.7391,-11.0152,1,197.333
5,6330,-16.7163,7.73958,-11.025,1,199.167
6,6099,-18.6448,7.71228,-11.9879,0,200.333
6,6099,-18.6448,7.71228,-11.9879,3,200.333
6,5873,-18.6246,7.69112,-12.9817,2,199.833
6,5656,-18.6174,7.66549,-13.9834,1,198.833
6,5655,-19.5457,7.64165,-13.9345,1,205.833
6,5872,-19.5649,7.66902,-12.9344,1,203.5
6,5874,-17.6657,7.69766,-13.0042,1,195.833
6,6100,-17.6779,7.71963,-12.008,1,198.5
6,6098,-19.6093,7.69137,-11.9611,2,201.5
6,5871,-20.5112,7.61869,-12.8861,1,213.5
6,6097,-20.5716,7.64555,-11.9234,1,210.833
6,6327,-19.6371,7.71779,-10.9864,1,202.167
6,6328,-18.6682,7.73385,-11.0033,1,199.167
6,6329,-17.6936,7.7391,-11.0152,2,197.333
6,6330,-16.7163,7.73958,-11.025,1,199.167
6,6569,-17.7087,7.76283,-10.0252,1,195.667
6,6570,-16.7316,7.75883,-10.0334,1,194.333
7,6328,-18.6682,7.73385,-11.0033,0,199.167
7,6328,-18.6682,7.73385,-11.0033,3,199.167
7,6099,-18.6448,7.71228,-11.9879,2,200.333
7,5873,-18.6246,7.69112,-12.9817,1,199.833
7,5872,-19.5649,7.66902,-12.9344,1,203.5
7,6098,-19.6093,7.69137,-11.9611,1,201.5
7,6100,-17.6779,7.71963,-12.008,1,198.5
7,6329,-17.6936,7.7391,-11.0152,1,197.333
7,6327,-19.6371,7.71779,-10.9864,2,202.167
7,6097,-20.5716,7.64555,-11.9234,1,210.833
7,6326,-20.5893,7.68197,-10.9504,1,209.833
7,6567,-19.6579,7.75679,-10.0111,1,203.333
7,6568,-18.6866,7.7642,-10.0212,1,199
7,6569,-17.7087,7.76283,-10.0252,2,195.667
7,6570,-16.7316,7.75883,-10.0334,1,194.333
7,6826,-17.7227,7.80229,-9.03688,1,198.167
7,6827,-16.7437,7.78578,-9.04024,1,194.5
8,6568,-18.6866,7.7642,-10.0212,0,199
8,6568,-18.6866,7.7642,-10.0212,3,199
8,6328,-18.6682,7.73385,-11.0033,2,199.167
8,6099,-18.6448,7.71228,-11.9879,1,200.333
8,6098,-19.6093,7.69137,-11.9611,1,201.5
8,6327,-19.6371,7.71779,-10.9864,1,202.167
8,6329,-17.6936,7.7391,-11.0152,1,197.333
8,6569,-17.7087,7.76283,-10.0252,1,195.667
8,6567,-19.6579,7.75679,-10.0111,2,203.333
8,6326,-20.5893,7.68197,-10.9504,1,209.833
8,6566,-20.6074,7.73236,-9.97291,1,206
8,6824,-19.7082,7.81984,-9.05349,1,201.5
8,6825,-18.7131,7.81698,-9.04744,1,199.5
8,6826,-17.7227,7.80229,-9.03688,2,198.167
8,6827,-16.7437,7.78578,-9.04024,1,194.5
8,7104,-17.7488,7.87644,-8.05818,1,200.167
8,7105,-16.7497,7.83372,-8.0479,1,200
9,6825,-18.7131,7.81698,-9.04744,0,199.5
9,6825,-18.7131,7.81698,-9.04744,3,199.5
9,6568,-18.6866,7.7642,-10.0212,2,199
9,6328,-18.6682,7.73385,-11.0033,1,199.167
9,6327,-19.6371,7.71779,-10.9864,1,202.167
9,6567,-19.6579,7.75679,-10.0111,1,203.333
9,6569,-17.7087,7.76283,-10.0252,1,195.667
9,6826,-17.7227,7.80229,-9.03688,1,198.167
9,6824,-19.7082,7.81984,-9.05349,2,201.5
9,6566,-20.6074,7.73236,-9.97291,1,206
9,6823,-20.6896,7.80061,-9.02217,1,204.333
9,7102,-19.8434,7.91808,-8.14853,1,199.167
9,7103,-18.7843,7.9098,-8.11008,1,199
9,7104,-17.7488,7.87644,-8.05818,2,200.167
9,7105,-16.7497,7.83372,-8.0479,1,200
9,7363,-17.825,8.00892,-7.10919,1,199.857
9,7364,-16.748,7.92001,-7.06769,1,197.833
10,7103,-18.7843,7.9098,-8.11008,0,199
10,7103,-18.7843,7.9098,-8.11008,3,199
10,6825,-18.7131,7.81698,-9.04744,2,199.5
