MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,0,1e-10,1e-10,1e-10,0,-1
0,0,1e-10,1e-10,1e-10,3,-1
0,1,20.0686,17.2732,-28.6284,2,95.4
0,2,19.7505,17.8724,-28.7155,1,97.4
0,4,20.868,17.1154,-28.6906,1,92.5
0,168,19.1472,17.2194,-28.4156,1,85.875
0,154,20.0586,16.4899,-28.4007,1,87.4286
0,3,21.5882,17.8195,-28.9122,2,93.8333
0,5,22.528,17.7297,-28.9254,1,90.3333
0,6,21.7906,16.9766,-28.7231,1,89
0,18,21.5076,18.6896,-29.0576,1,91
0,19,22.3997,18.5923,-29.0747,1,88.6667
0,14,19.834,18.7645,-28.884,2,97.2857
0,15,19.1102,18.1247,-28.6253,1,93.6
0,16,18.8769,18.8804,-28.6989,1,92.3333
0,17,20.7258,18.8944,-29.0291,1,91.6
0,26,19.5302,19.7603,-28.9531,1,89.4286
0,28,20.4787,19.6513,-29.0771,1,87.3333
1,369,32.2025,21.1463,-26.5694,0,92
1,369,32.2025,21.1463,-26.5694,3,92
1,368,31.6261,21.3159,-26.9451,2,92.1667
1,361,30.9978,20.3515,-27.1849,1,92.25
1,367,31.7218,20.5754,-26.8063,1,88.2
1,366,31.0178,21.5058,-27.2959,1,94.8333
1,374,31.6382,22.2551,-26.9703,1,92.3333
1,375,32.2825,21.9316,-26.5634,1,96.3333
1,534,32.2678,20.3975,-26.4071,2,93.5
1,362,31.5892,19.7792,-26.7345,1,92.1667
1,530,32.2114,19.4142,-26.2349,1,96.8571
1,536,32.8135,20.3848,-26.0084,1,97.8333
1,540,32.822,21.3685,-26.1339,1,96.1429
2,375,32.2825,21.9316,-26.5634,0,96.3333
2,375,32.2825,21.9316,-26.5634,3,96.3333
2,369,32.2025,21.1463,-26.5694,2,92
2,368,31.6261,21.3159,-26.9451,1,92.1667
2,367,31.7218,20.5754,-26.8063,1,88.2
2,534,32.2678,20.3975,-26.4071,1,93.5
2,540,32.822,21.3685,-26.1339,1,96.1429
2,374,31.6382,22.2551,-26.9703,2,92.3333
2,366,31.0178,21.5058,-27.2959,1,94.8333
2,373,30.963,22.5142,-27.3336,1,92.6667
2,380,31.5277,23.2497,-26.9855,1,94.1429
2,381,32.2545,22.8273,-26.575,1,94.5
2,544,32.8837,22.4392,-26.139,2,98.5
2,545,33.4487,21.9689,-25.6865,1,101
2,548,32.8213,23.5036,-26.1368,1,94.8571
2,549,33.4554,22.9705,-25.6892,1,101.833
3,381,32.2545,22.8273,-26.575,0,94.5
3,381,32.2545,22.8273,-26.575,3,94.5
3,375,32.2825,21.9316,-26.5634,2,96.3333
3,369,32.2025,21.1463,-26.5694,1,92
3,368,31.6261,21.3159,-26.9451,1,92.1667
3,374,31.6382,22.2551,-26.9703,1,92.3333
3,540,32.822,21.3685,-26.1339,1,96.1429
3,544,32.8837,22.4392,-26.139,1,98.5
3,380,31.5277,23.2497,-26.9855,2,94.1429
3,373,30.963,22.5142,-27.3336,1,92.6667
3,379,30.7793,23.4647,-27.359,1,92.1667
3,388,32.1801,23.6242,-26.5675,1,100.8
